mention	count	valid_range
2025 chevy	5	YES
104 are	5	SUSPECT
1444 westwood	5	YES
2026 1	5	YES
12518 clifton	5	YES
2147 riverside	5	YES
429 disregard	5	SUSPECT
1405 hopkins	5	YES
500 custom	5	SUSPECT
2026 silverado	5	YES
200 atkins	5	SUSPECT
107 in	5	SUSPECT
1250 virginia	5	YES
12019 lakewood	4	YES
117 right	4	SUSPECT
2019 gray	4	YES
203 will	4	SUSPECT
203 they're	4	SUSPECT
14802 clifton	4	YES
202 10-7	4	SUSPECT
125 50	4	SUSPECT
217 medic	4	SUSPECT
1332 west	4	YES
218 we're	4	SUSPECT
208 you	4	SUSPECT
2216 eldridge	4	YES
1436 alameda	4	YES
145 23	4	SUSPECT
311 i'm	4	SUSPECT
218 is	4	SUSPECT
17433 edgewater	4	YES
300 brown	4	SUSPECT
2002 honda	4	YES
15800 detroit	4	YES
113 i'm	4	SUSPECT
282 on	4	SUSPECT
15115 lake	4	YES
17480 clifton	4	YES
1359 albert	4	YES
215 215	4	SUSPECT
740 medic	4	SUSPECT
1212 bunts	4	YES
114 65	4	SUSPECT
114 medic	4	SUSPECT
920 of	4	SUSPECT
1333 sloan	4	YES
215 will	4	SUSPECT
120 29	4	SUSPECT
213 to	4	SUSPECT
218 if	4	SUSPECT
260 brown	4	SUSPECT
229 could	4	SUSPECT
208 copy	4	SUSPECT
4227 delaware	4	SUSPECT
211 this	4	SUSPECT
421 of	4	SUSPECT
414 medic	4	SUSPECT
151 19	4	SUSPECT
208 for	4	SUSPECT
2022 ford	4	YES
217 on	4	SUSPECT
125 11	4	SUSPECT
211 all	4	SUSPECT
12925 clifton	4	YES
1497 winton	4	YES
2011 bunts	4	YES
270 10-8	4	SUSPECT
2024 nissan	4	YES
1496 west	4	YES
2065 atkins	4	YES
1604 alameda	4	YES
2268 emily	4	YES
203 what	4	SUSPECT
1425 waterbury	4	YES
2014 ram	4	YES
270 traffic	4	SUSPECT
213 229	4	SUSPECT
203 that	4	SUSPECT
500 in	4	SUSPECT
11864 clifton	4	YES
1483 newman	4	YES
211 just	4	SUSPECT
229 205	4	SUSPECT
222 you	4	SUSPECT
224 could	4	SUSPECT
229 kufner	4	SUSPECT
260 we're	4	SUSPECT
1599 westwood	4	YES
214 15	4	SUSPECT
226 we're	4	SUSPECT
222 is	4	SUSPECT
1326 thoreau	4	YES
216 that	4	SUSPECT
205 on	4	SUSPECT
202 what's	4	SUSPECT
2016 kia	4	YES
2017 blue	4	YES
1675 roosevelt	4	YES
000 on	4	SUSPECT
1441 newman	4	YES
1475 winchester	4	YES
1354 park	4	YES
116 i'll	4	SUSPECT
117 lake	4	SUSPECT
115 king	4	SUSPECT
213 i'll	4	SUSPECT
2015 dodge	4	YES
2015 robin	4	YES
365 gambling	4	SUSPECT
209 they're	4	SUSPECT
150 and	4	SUSPECT
221 you	4	SUSPECT
14805 clifton	4	YES
11926 madison	4	YES
2012 jeep	4	YES
212 radio	4	SUSPECT
402 medic	4	SUSPECT
300 medic	4	SUSPECT
531 of	4	SUSPECT
209 notes	4	SUSPECT
202 traffic	4	SUSPECT
202 that	4	SUSPECT
209 medic	4	SUSPECT
1309 westlake	4	YES
208 to	4	SUSPECT
209 is	4	SUSPECT
205 respond	4	SUSPECT
205 vehicle	4	SUSPECT
2014 white	4	YES
153 22	4	SUSPECT
224 we'll	4	SUSPECT
324 and	4	SUSPECT
229 at	4	SUSPECT
2207 glenbury	4	YES
212 the	4	SUSPECT
2190 bunts	4	YES
117 is	4	SUSPECT
1540 newman	4	YES
211 24	4	SUSPECT
12507 franklin	4	YES
1275 clifton	4	YES
1383 bonnevue	4	YES
207 7	4	SUSPECT
212 at	4	SUSPECT
116 window	4	SUSPECT
11805 north	4	YES
203 respond	4	SUSPECT
209 kufner's	4	SUSPECT
14322 madison	4	YES
131 of	4	SUSPECT
319 and	4	SUSPECT
331 of	4	SUSPECT
1447 lewis	4	YES
2020 toyota	4	YES
329 and	4	SUSPECT
605 medic	4	SUSPECT
2103 robin	4	YES
1462 lakeland	4	YES
211 that's	4	SUSPECT
12206 clifton	4	YES
209 madison	4	SUSPECT
2038 robin	4	YES
11733 edgewater	4	YES
2216 alger	4	YES
1468 coutant	4	YES
14312 number	4	YES
2015 white	4	YES
201 to	4	SUSPECT
906 medic	4	SUSPECT
15413 lakewood	4	YES
211 you're	4	SUSPECT
127 of	4	SUSPECT
2008 ford	4	YES
205 kufner	4	SUSPECT
13880 edgewater	4	YES
212 traffic	4	SUSPECT
2019 mckinley	4	YES
924 72	4	SUSPECT
11829 clifton	4	YES
219 this	4	SUSPECT
224 i'll	4	SUSPECT
323 medic	4	SUSPECT
17533 madison	4	YES
205 211	4	SUSPECT
404 medic	4	SUSPECT
204 copy	4	SUSPECT
216 or	4	SUSPECT
2013 dodge	4	YES
1169 french	4	YES
230 black	4	SUSPECT
2095 northland	4	YES
111 medic	4	SUSPECT
314 of	4	SUSPECT
2011 quail	4	YES
11810 lake	4	YES
236 for	4	SUSPECT
1010 medic	4	YES
205 do	4	SUSPECT
14412 detroit	4	YES
1515 westwood	4	YES
215 you	4	SUSPECT
216 i'll	4	SUSPECT
17105 madison	4	YES
229 10-7	4	SUSPECT
17525 madison	4	YES
201 medic	4	SUSPECT
1489 wyandotte	4	YES
15514 madison	4	YES
2019 woodward	4	YES
235 black	4	SUSPECT
1422 rio	4	YES
221 copy	4	SUSPECT
14901 lake	4	YES
2022 blue	4	YES
1472 cordova	4	YES
205 could	4	SUSPECT
1357 riverside	4	YES
2021 ford	4	YES
2010 silver	4	YES
210 are	4	SUSPECT
225 i'm	4	SUSPECT
201 you	4	SUSPECT
1543 orchard	4	YES
1635 orchard	4	YES
14900 lakewood	4	YES
203 at	4	SUSPECT
206 and	4	SUSPECT
215 is	4	SUSPECT
1494 orchard	4	YES
203 we	4	SUSPECT
2132 lewis	4	YES
215 clifton	4	SUSPECT
1266 cove	4	YES
213 219	4	SUSPECT
270 to	4	SUSPECT
13396 madison	4	YES
828 of	4	SUSPECT
18204 detroit	4	YES
210 franklin	4	SUSPECT
1247 marlowe	4	YES
219 that	4	SUSPECT
315 medic	4	SUSPECT
12053 lake	4	YES
1471 arthur	4	YES
12402 madison	4	YES
14300 number	4	YES
204 for	4	SUSPECT
2104 lark	4	YES
1381 bunce	4	YES
16512 detroit	4	YES
307 medic	4	SUSPECT
117 we're	4	SUSPECT
2057 robin	4	YES
1341 marlo	4	YES
2900 detroit	4	SUSPECT
12601 lake	4	YES
1269 manor	4	YES
1699 valley	4	YES
626 of	4	SUSPECT
1345 beach	4	YES
2207 clearance	4	YES
17514 detroit	4	YES
1561 alameda	4	YES
17531 madison	4	YES
18891 detroit	4	YES
1510 hopkins	4	YES
2014 hyundai	4	YES
2550 lake	4	SUSPECT
143 detroit	4	SUSPECT
325 of	4	SUSPECT
129 99	4	SUSPECT
11710 nelson	4	YES
2004 honda	4	YES
211 that	4	SUSPECT
17102 detroit	4	YES
12221 clifton	4	YES
224 go	4	SUSPECT
305 medic	4	SUSPECT
1423 lauderdale	4	YES
16207 detroit	4	YES
224 to	4	SUSPECT
611 for	4	SUSPECT
114 for	4	SUSPECT
13230 detroit	4	YES
2050 robin	4	YES
203 the	4	SUSPECT
1436 arthur	4	YES
12901 detroit	4	YES
123 lake	4	SUSPECT
1584 lincoln	4	YES
2160 atkins	4	YES
2027 bunts	4	YES
2008 black	4	YES
227 i'll	4	SUSPECT
118 35	4	SUSPECT
1441 woodward	4	YES
100 pounds	4	SUSPECT
12029 clifton	4	YES
2015 honda	4	YES
213 we're	4	SUSPECT
207 did	4	SUSPECT
1527 wyandotte	4	YES
226 are	4	SUSPECT
17436 clifton	4	YES
411 medic	4	SUSPECT
104 detroit	4	SUSPECT
1427 wyandotte	4	YES
12958 clifton	4	YES
1487 ridgewood	4	YES
186 16	4	SUSPECT
2019 toyota	4	YES
850 beach	4	SUSPECT
1446 lakewood	4	YES
207 the	4	SUSPECT
14027 madison	4	YES
214 208	4	SUSPECT
2034 reveley	4	YES
14623 bays	4	YES
1584 larchmont	4	YES
17545 madison	4	YES
2012 gray	4	YES
1421 marlowe	4	YES
1618 lakewood	4	YES
207 copy	4	SUSPECT
1342 hurd	4	YES
16204 detroit	4	YES
270 could	4	SUSPECT
11728 detroit	4	YES
212 what	4	SUSPECT
13363 madison	4	YES
2007 black	4	YES
208 we're	4	SUSPECT
1225 andrews	4	YES
218 go	4	SUSPECT
2233 bunts	4	YES
2100 lark	4	YES
1336 heard	4	YES
1464 roycroft	4	YES
155 brown	4	SUSPECT
1441 rockway	4	YES
18206 detroit	4	YES
1230 arlington	4	YES
14239 detroit	4	YES
207 we'll	4	SUSPECT
1379 bunts	4	YES
11840 southline	4	YES
208 if	4	SUSPECT
616 of	4	SUSPECT
212 if	4	SUSPECT
215 27	4	SUSPECT
222 did	4	SUSPECT
1327 bonnevue	4	YES
424 of	4	SUSPECT
117 so	4	SUSPECT
2500 edgewater	4	YES
208 respond	4	SUSPECT
218 to	4	SUSPECT
16901 lake	4	YES
13436 clifton	4	YES
1595 winchester	4	YES
13303 madison	4	YES
1360 belle	4	YES
216 respond	4	SUSPECT
1426 newman	4	YES
2020 black	4	YES
714 for	4	SUSPECT
714 medic	4	SUSPECT
1551 lakeland	4	YES
11825 detroit	4	YES
107 and	4	SUSPECT
1538 lauderdale	4	YES
512 for	4	SUSPECT
214 is	4	SUSPECT
15735 clifton	4	YES
1327 arlington	4	YES
1839 clifton	4	YES
2023 gray	4	YES
270 are	4	SUSPECT
1548 lakewood	4	YES
15422 detroit	4	YES
1352 clearance	4	YES
1558 northland	4	YES
1616 west	4	YES
225 are	4	SUSPECT
204 on	4	SUSPECT
189 15	4	SUSPECT
2017 honda	4	YES
225 25	4	SUSPECT
100 miles	4	SUSPECT
1706 clifton	4	YES
305 for	4	SUSPECT
14532 lakewood	4	YES
1523 waterbury	4	YES
212 we'll	4	SUSPECT
2018 belle	4	YES
12962 clifton	4	YES
17798 detroit	4	YES
1382 bunts	4	YES
1184 summit	4	YES
2017 chevy	4	YES
527 of	4	SUSPECT
1310 edwards	4	YES
212 212	4	SUSPECT
204 traffic	4	SUSPECT
227 can	4	SUSPECT
1554 olivewood	4	YES
2080 quail	4	YES
2214 chesterland	4	YES
125 edgewater	4	SUSPECT
11806 clifton	4	YES
1433 riverside	4	YES
1254 bunts	4	YES
225 go	4	SUSPECT
1338 beach	4	YES
1437 northland	4	YES
17513 detroit	4	YES
1641 grace	4	YES
12031 edgewater	4	YES
401 medic	4	SUSPECT
2013 black	4	YES
17843 clifton	4	YES
1431 wyandotte	4	YES
13882 clifton	4	YES
301 female	4	SUSPECT
17310 madison	4	YES
11871 lake	4	YES
11729 detroit	4	YES
2073 mars	4	YES
14555 madison	4	YES
1433 graber	4	YES
104 could	4	SUSPECT
104 we	4	SUSPECT
11815 south	4	YES
2103 wyandotte	4	YES
100 seventeenth	4	SUSPECT
15631 madison	4	YES
2005 20	4	YES
1988 37	4	YES
220 10	4	SUSPECT
2170 niagara	4	YES
107 if	4	SUSPECT
108 copy	4	SUSPECT
198 copy	4	SUSPECT
2026 30	4	YES
2000 and	4	YES
2019 honda	4	YES
210 bed	4	SUSPECT
1383 bonnie	4	YES
1418 west	4	YES
1411 roycroft	4	YES
2026 vehicle	4	YES
1999 26	4	YES
2026 23	4	YES
2026 31	4	YES
104 that's	4	SUSPECT
16165 hilliard	4	YES
1835 clifton	4	YES
1634 wyandotte	4	YES
104 we're	4	SUSPECT
258 copy	4	SUSPECT
2041 lewis	4	YES
104 they	4	SUSPECT
650 detroit	4	SUSPECT
108 on	4	SUSPECT
1519 woodward	4	YES
104 sir	4	SUSPECT
1435 warren	4	YES
990 westbound	4	SUSPECT
12501 madison	4	YES
2017 subaru	4	YES
2026 listed	4	YES
2026 expired	4	YES
1849 clifton	4	YES
118 copy	4	SUSPECT
500 10	4	SUSPECT
2506 at	4	SUSPECT
107 can	4	SUSPECT
158 copy	4	SUSPECT
29117 franklin	4	SUSPECT
1323 lakeland	4	YES
1994 31	4	YES
1321 arlington	4	YES
16808 delaware	4	YES
2036 wyandotte	4	YES
1386 beach	4	YES
1431 northland	4	YES
341 marlowe	4	SUSPECT
1180 brown	4	YES
11812 clifton	4	YES
13919 detroit	4	YES
2004 21	4	YES
12010 lake	4	YES
12500 berea	4	YES
1406 west	4	YES
1481 apartment	4	YES
2006 ground	4	YES
210 10-7	3	SUSPECT
720 of	3	SUSPECT
2025 white	3	YES
723 of	3	SUSPECT
206 for	3	SUSPECT
213 you're	3	SUSPECT
1063 cove	3	YES
211 set	3	SUSPECT
1381 on	3	YES
309 for	3	SUSPECT
218 at	3	SUSPECT
215 for	3	SUSPECT
310 i'm	3	SUSPECT
155 black	3	SUSPECT
401 detroit	3	SUSPECT
229 is	3	SUSPECT
116 of	3	SUSPECT
2139 glenbury	3	YES
2007 dodge	3	YES
215 disregard	3	SUSPECT
2005 ford	3	YES
2221 eldred	3	YES
2020 ford	3	YES
2190 waterbury	3	YES
1272 brockley	3	YES
1500 hopkins	3	YES
16819 fisher	3	YES
1341 milo	3	YES
181 20	3	SUSPECT
15620 madison	3	YES
229 do	3	SUSPECT
106 medic	3	SUSPECT
250 i'm	3	SUSPECT
214 for	3	SUSPECT
2116 warren	3	YES
2011 black	3	YES
1425 elmwood	3	YES
270 go	3	SUSPECT
1030 roy	3	YES
213 on	3	SUSPECT
270 i'll	3	SUSPECT
412 you	3	SUSPECT
229 respond	3	SUSPECT
1281 ramona	3	YES
213 24	3	SUSPECT
329 we'll	3	SUSPECT
209 he's	3	SUSPECT
213 you	3	SUSPECT
250 brown	3	SUSPECT
2011 subaru	3	YES
228 10-8	3	SUSPECT
1496 alameda	3	YES
226 may	3	SUSPECT
2019 ford	3	YES
922 of	3	SUSPECT
170 black	3	SUSPECT
2025 nissan	3	YES
15309 madison	3	YES
117 you	3	SUSPECT
203 station	3	SUSPECT
235 medic	3	SUSPECT
222 disregard	3	SUSPECT
200 gray	3	SUSPECT
120 26	3	SUSPECT
2014 silver	3	YES
2011 white	3	YES
209 for	3	SUSPECT
175 black	3	SUSPECT
2005 20-year-old	3	YES
329 copy	3	SUSPECT
11840 lake	3	YES
16707 seneca	3	YES
1427 rio	3	YES
203 she's	3	SUSPECT
192 black	3	SUSPECT
129 75	3	SUSPECT
2014 gmc	3	YES
2016 i'm	3	YES
2012 kia	3	YES
222 we'll	3	SUSPECT
2020 blue	3	YES
203 traffic	3	SUSPECT
1677 bunts	3	YES
203 west	3	SUSPECT
14873 detroit	3	YES
1701 arthur	3	YES
211 west	3	SUSPECT
2140 at	3	YES
1502 west	3	YES
211 south	3	SUSPECT
210 of	3	SUSPECT
1384 clearance	3	YES
229 that	3	SUSPECT
2026 59	3	YES
269 copy	3	SUSPECT
2000 mars	3	YES
203 she	3	SUSPECT
715 medic	3	SUSPECT
288 or	3	SUSPECT
148 19	3	SUSPECT
2036 lakeland	3	YES
147 55	3	SUSPECT
731 of	3	SUSPECT
205 car	3	SUSPECT
211 madison	3	SUSPECT
124 i	3	SUSPECT
116 116	3	SUSPECT
221 221	3	SUSPECT
2010 blue	3	YES
277 i'm	3	SUSPECT
117 10-4	3	SUSPECT
130 of	3	SUSPECT
1360 west	3	YES
1621 lakewood	3	YES
229 10-8	3	SUSPECT
136 medic	3	SUSPECT
2016 brown	3	YES
127 i'll	3	SUSPECT
1506 west	3	YES
821 of	3	SUSPECT
2165 bunts	3	YES
2156 bunts	3	YES
620 of	3	SUSPECT
1377 ethel	3	YES
703 female	3	SUSPECT
119 to	3	SUSPECT
1389 granger	3	YES
218 7	3	SUSPECT
13216 detroit	3	YES
206 i'll	3	SUSPECT
117 george	3	SUSPECT
224 223	3	SUSPECT
118 at	3	SUSPECT
213 10-7	3	SUSPECT
100 k-a-l-s-h-i	3	SUSPECT
1346 code	3	YES
1043 forest	3	YES
145 brown	3	SUSPECT
273 i'm	3	SUSPECT
2024 white	3	YES
2011 nissan	3	YES
365 is	3	SUSPECT
2033 atkins	3	YES
103 10-4	3	SUSPECT
1400 detroit	3	YES
607 medic	3	SUSPECT
2079 clarence	3	YES
1415 clarence	3	YES
211 yes	3	SUSPECT
213 217	3	SUSPECT
212 10-8	3	SUSPECT
1386 hall	3	YES
2195 woodward	3	YES
329 10-8	3	SUSPECT
215 216	3	SUSPECT
218 50	3	SUSPECT
122 at	3	SUSPECT
1393 geale	3	YES
209 rush	3	SUSPECT
56170 brown	3	SUSPECT
2010 lincoln	3	YES
128 of	3	SUSPECT
426 of	3	SUSPECT
1311 bonnevue	3	YES
125 and	3	SUSPECT
14205 madison	3	YES
208 we'll	3	SUSPECT
17615 detroit	3	YES
206 can	3	SUSPECT
1491 lincoln	3	YES
216 at	3	SUSPECT
120 on	3	SUSPECT
12118 madison	3	YES
156 madison	3	SUSPECT
163 at	3	SUSPECT
218 of	3	SUSPECT
124 i'm	3	SUSPECT
1663 victoria	3	YES
519 medic	3	SUSPECT
1941 pick	3	YES
221 are	3	SUSPECT
142 12th	3	SUSPECT
2181 northland	3	YES
1473 victoria	3	YES
13415 detroit	3	YES
2008 white	3	YES
12907 clifton	3	YES
1555 hilliard	3	YES
2139 olive	3	YES
211 from	3	SUSPECT
4701 detroit	3	SUSPECT
135 31	3	SUSPECT
117 berea	3	SUSPECT
1440 wyandotte	3	YES
12629 detroit	3	YES
135 medic	3	SUSPECT
2018 grey	3	YES
310 medic	3	SUSPECT
311 for	3	SUSPECT
2025 atkins	3	YES
202 you're	3	SUSPECT
1577 chesterland	3	YES
215 brown	3	SUSPECT
2205 mars	3	YES
221 we're	3	SUSPECT
2017 white	3	YES
12976 clifton	3	YES
125 20	3	SUSPECT
228 can	3	SUSPECT
1511 coutant	3	YES
16811 madison	3	YES
223 224	3	SUSPECT
2227 lewis	3	YES
251 i'll	3	SUSPECT
2016 audi	3	YES
142 29	3	SUSPECT
2012 buick	3	YES
13361 madison	3	YES
2017 jeep	3	YES
205 franklin	3	SUSPECT
622 and	3	SUSPECT
725 of	3	SUSPECT
105 medic	3	SUSPECT
2018 mercedes	3	YES
1198 cook	3	YES
2006 buick	3	YES
2017 dodge	3	YES
1291 granger	3	YES
13452 clifton	3	YES
203 number	3	SUSPECT
1494 westwood	3	YES
12019 late	3	YES
2005 lincoln	3	YES
1374 number	3	YES
14900 detroit	3	YES
12506 i	3	YES
703 10-4	3	SUSPECT
1346 cole	3	YES
1481 road	3	YES
219 2	3	SUSPECT
2200 hours	3	YES
219 at	3	SUSPECT
502 for	3	SUSPECT
226 217	3	SUSPECT
201 traffic	3	SUSPECT
201 we	3	SUSPECT
2089 robin	3	YES
211 listening	3	SUSPECT
2010 red	3	YES
1346 calls	3	YES
280 i'll	3	SUSPECT
228 could	3	SUSPECT
1443 spring	3	YES
2081 mark	3	YES
1680 lincoln	3	YES
278 i	3	SUSPECT
16101 madison	3	YES
118 39	3	SUSPECT
1508 west	3	YES
226 in	3	SUSPECT
264 are	3	SUSPECT
2137 brown	3	YES
1291 idlewood	3	YES
14409 delaware	3	YES
4300 madison	3	SUSPECT
250 i	3	SUSPECT
226 he's	3	SUSPECT
1297 idlewood	3	YES
18607 detroit	3	YES
329 i'm	3	SUSPECT
613 medic	3	SUSPECT
201 we'll	3	SUSPECT
221 do	3	SUSPECT
2245 arthur	3	YES
201 i	3	SUSPECT
628 of	3	SUSPECT
11819 north	3	YES
214 215	3	SUSPECT
911 is	3	SUSPECT
14977 delaware	3	YES
217 is	3	SUSPECT
2020 mazda	3	YES
1361 cove	3	YES
182 58	3	SUSPECT
1598 hopkins	3	YES
1621 for	3	YES
217 the	3	SUSPECT
201 are	3	SUSPECT
16209 madison	3	YES
1419 roycroft	3	YES
2009 honda	3	YES
202 or	3	SUSPECT
17500 madison	3	YES
1185 warren	3	YES
11733 clifton	3	YES
1583 orchard	3	YES
2016 dodge	3	YES
2014 dodge	3	YES
222 224	3	SUSPECT
222 we're	3	SUSPECT
1555 grace	3	YES
1369 park	3	YES
133 30	3	SUSPECT
1242 code	3	YES
413 of	3	SUSPECT
2016 blue	3	YES
2012 chrysler	3	YES
2023 blue	3	YES
1377 belle	3	YES
1619 chesterland	3	YES
1285 cove	3	YES
223 to	3	SUSPECT
1366 edwards	3	YES
13468 clifton	3	YES
117 thank	3	SUSPECT
228 we're	3	SUSPECT
1565 waterbury	3	YES
217 could	3	SUSPECT
124 for	3	SUSPECT
124 medic	3	SUSPECT
1485 northland	3	YES
1513 westwood	3	YES
2007 ford	3	YES
119 and	3	SUSPECT
2004 buick	3	YES
17609 detroit	3	YES
2017 black	3	YES
1331 cranford	3	YES
1560 coutant	3	YES
213 in	3	SUSPECT
1720 edgewater	3	YES
229 10-4	3	SUSPECT
14937 lakewood	3	YES
117 117	3	SUSPECT
122 28	3	SUSPECT
1621 newman	3	YES
2054 lewis	3	YES
2070 west	3	YES
1553 newman	3	YES
328 copy	3	SUSPECT
1381 bonds	3	YES
13601 detroit	3	YES
605 for	3	SUSPECT
219 10-8	3	SUSPECT
203 all	3	SUSPECT
114 it's	3	SUSPECT
220 we	3	SUSPECT
14223 athens	3	YES
13715 madison	3	YES
216 could	3	SUSPECT
13975 lake	3	YES
2030 atkins	3	YES
16918 detroit	3	YES
417 at	3	SUSPECT
12810 detroit	3	YES
117 apartment	3	SUSPECT
1007 for	3	YES
2018 silver	3	YES
2128 lakeland	3	YES
215 do	3	SUSPECT
1685 arthur	3	YES
220 on	3	SUSPECT
207 traffic	3	SUSPECT
117 copy	3	SUSPECT
599 i	3	SUSPECT
2026 20	3	YES
1298 ethel	3	YES
133 95	3	SUSPECT
220 dl	3	SUSPECT
220 do	3	SUSPECT
1285 gladys	3	YES
113 medic	3	SUSPECT
215 they're	3	SUSPECT
2025 hyundai	3	YES
611 medic	3	SUSPECT
173 to	3	SUSPECT
12971 harlan	3	YES
2013 blue	3	YES
1229 of	3	YES
215 she's	3	SUSPECT
219 a	3	SUSPECT
1380 clarence	3	YES
12552 clifton	3	YES
125 52	3	SUSPECT
1639 lakewood	3	YES
205 there's	3	SUSPECT
118 11	3	SUSPECT
17844 cannon	3	YES
2019 nissan	3	YES
2026 mars	3	YES
2076 elmwood	3	YES
1485 blossom	3	YES
314 and	3	SUSPECT
2114 clarence	3	YES
2050 dow	3	YES
1627 winchester	3	YES
503 for	3	SUSPECT
219 211	3	SUSPECT
119 i	3	SUSPECT
280 go	3	SUSPECT
215 that's	3	SUSPECT
118 23	3	SUSPECT
273 i	3	SUSPECT
911 saying	3	SUSPECT
222 of	3	SUSPECT
215 detroit	3	SUSPECT
28900 detroit	3	SUSPECT
1534 winchester	3	YES
2016 mazda	3	YES
107 for	3	SUSPECT
214 of	3	SUSPECT
1356 marlowe	3	YES
13383 madison	3	YES
229 thanks	3	SUSPECT
14782 athens	3	YES
220 copy	3	SUSPECT
2024 toyota	3	YES
18516 detroit	3	YES
1582 newman	3	YES
1445 rockway	3	YES
2014 nissan	3	YES
2017 nissan	3	YES
2021 bmw	3	YES
320 detroit	3	SUSPECT
251 i	3	SUSPECT
14306 number	3	YES
211 what	3	SUSPECT
2014 elmwood	3	YES
1534 roycroft	3	YES
1388 lakewood	3	YES
2109 elmwood	3	YES
1026 for	3	YES
1664 lauderdale	3	YES
603 medic	3	SUSPECT
1635 olivewood	3	YES
2019 mercedes	3	YES
203 what's	3	SUSPECT
1215 west	3	YES
126 medic	3	SUSPECT
2009 ford	3	YES
217 219	3	SUSPECT
204 check	3	SUSPECT
142 23	3	SUSPECT
2021 lakeland	3	YES
207 10-8	3	SUSPECT
300 pounds	3	SUSPECT
12065 edgewater	3	YES
2015 bmw	3	YES
202 it's	3	SUSPECT
315 i	3	SUSPECT
19342 laurel	3	SUSPECT
2016 hyundai	3	YES
55125 brown	3	SUSPECT
220 are	3	SUSPECT
261 to	3	SUSPECT
911 he	3	SUSPECT
215 we	3	SUSPECT
1521 wagar	3	YES
1635 hopkins	3	YES
1501 roycroft	3	YES
2021 chevy	3	YES
1625 newman	3	YES
911 open	3	SUSPECT
14235 garfield	3	YES
12805 detroit	3	YES
1333 lakeland	3	YES
142 35	3	SUSPECT
11730 clifton	3	YES
2035 chesterland	3	YES
2014 blue	3	YES
1613 hopkins	3	YES
2124 quail	3	YES
1264 webb	3	YES
2200 madison	3	YES
911 line	3	SUSPECT
207 medic	3	SUSPECT
207 do	3	SUSPECT
11821 clifton	3	YES
13513 clifton	3	YES
117 carbon	3	SUSPECT
56135 brown	3	SUSPECT
207 212	3	SUSPECT
222 copies	3	SUSPECT
2144 mckinley	3	YES
1564 ridgewood	3	YES
2004 chevy	3	YES
1571 olivewood	3	YES
1327 edwards	3	YES
207 go	3	SUSPECT
154 22	3	SUSPECT
2078 robin	3	YES
1352 west	3	YES
2019 silver	3	YES
629 of	3	SUSPECT
12804 madison	3	YES
214 214	3	SUSPECT
2023 dodge	3	YES
15709 lake	3	YES
227 i	3	SUSPECT
2085 chesterland	3	YES
219 is	3	SUSPECT
212 of	3	SUSPECT
14914 edgewater	3	YES
211 214	3	SUSPECT
2035 morrison	3	YES
1618 woodward	3	YES
212 22	3	SUSPECT
12906 madison	3	YES
15608 lake	3	YES
13454 parkway	3	YES
2022 jeep	3	YES
107 medic	3	SUSPECT
13458 clifton	3	YES
2000 23	3	YES
1409 marlowe	3	YES
1619 clarence	3	YES
2008 toyota	3	YES
1588 warren	3	YES
207 could	3	SUSPECT
1338 heard	3	YES
2014 gray	3	YES
1409 owego	3	YES
1623 newman	3	YES
208 or	3	SUSPECT
806 for	3	SUSPECT
1553 northland	3	YES
224 19	3	SUSPECT
1175 andrews	3	YES
2024 tesla	3	YES
1335 brockley	3	YES
227 go	3	SUSPECT
1472 larchmont	3	YES
2008 buick	3	YES
1001 medic	3	YES
218 or	3	SUSPECT
223 are	3	SUSPECT
215 214	3	SUSPECT
1257 french	3	YES
240 black	3	SUSPECT
208 10-7	3	SUSPECT
1558 ridgewood	3	YES
213 medic	3	SUSPECT
14822 madison	3	YES
2043 ferndale	3	YES
117 there's	3	SUSPECT
14108 lakewood	3	YES
215 did	3	SUSPECT
13368 madison	3	YES
1499 northland	3	YES
2007 white	3	YES
1526 bunts	3	YES
219 19	3	SUSPECT
721 63	3	SUSPECT
212 205	3	SUSPECT
1460 lauderdale	3	YES
117 new	3	SUSPECT
302 medic	3	SUSPECT
13480 clifton	3	YES
209 we	3	SUSPECT
1362 beach	3	YES
2023 quail	3	YES
117 st	3	SUSPECT
1270 lakeland	3	YES
2014 kia	3	YES
117 sapels	3	SUSPECT
17445 northwood	3	YES
259 we're	3	SUSPECT
224 will	3	SUSPECT
57158 black	3	SUSPECT
15021 hilliard	3	YES
222 if	3	SUSPECT
1555 hopkins	3	YES
205 212	3	SUSPECT
222 are	3	SUSPECT
1611 orchard	3	YES
1221 warren	3	YES
1507 winchester	3	YES
2015 gray	3	YES
1520 west	3	YES
1586 clarence	3	YES
227 good	3	SUSPECT
1501 elmwood	3	YES
1374 cove	3	YES
218 could	3	SUSPECT
12920 berea	3	YES
261 i'm	3	SUSPECT
1502 winchester	3	YES
1667 elmwood	3	YES
1379 bonnevue	3	YES
14808 clifton	3	YES
228 211	3	SUSPECT
308 for	3	SUSPECT
2167 clarence	3	YES
1277 thoreau	3	YES
2147 eldred	3	YES
1459 ridgewood	3	YES
511 180	3	SUSPECT
1531 coutant	3	YES
806 medic	3	SUSPECT
2001 23	3	YES
107 is	3	SUSPECT
1541 westwood	3	YES
17813 shaw	3	YES
202 the	3	SUSPECT
2015 dark	3	YES
2009 hyundai	3	YES
1340 kenilworth	3	YES
406 for	3	SUSPECT
17473 norton	3	YES
2023 ford	3	YES
1478 winchester	3	YES
1411 you	3	YES
1346 kenilworth	3	YES
207 is	3	SUSPECT
