fourgram	count
out of new york	16
said there's a white	16
we're in front of	16
company is medic 3	16
you send me a	16
find a number for	16
you could start a	16
it looks like he	16
and see if i	16
3 engine 3 is	16
will be responding to	16
in front of you	16
engine 3 engine 3	16
if you can assist	16
in service medic 3	16
it looks like they're	16
mileage is going to	16
should be on the	16
vehicle was released to	16
detroit car 2 engine	16
1 are en route	16
know if you can	16
car 2 in service	16
white male in a	16
to the back hill	16
was advised of her	16
3 respond to o'neill	16
can i have that	16
87 year old female	16
medic 123 truck 1	16
but it looks like	16
2 engine 2 and	16
check for a black	16
we spoke with a	16
the registered owner of	16
looks like it might	16
medic 2 i copy	16
go back to the	16
2 will be in	16
and see if you	16
2 will be out	16
for a vehicle parked	16
19 can you run	16
to 19 to the	16
south of madison with	16
going to be heading	16
the front counter for	16
will take that call	16
more difficult it's just	16
difficult it's just a	16
squad assist we'll be	16
is in service we'll	16
talk to an officer	16
will be out with	16
go on the lunch	16
they said they were	16
i'm sorry i didn't	16
attention medic 2 respond	16
you stop up here	16
plate to the detail	16
11 are you all	16
at 12400 madison apartment	16
can you copy the	16
companies medic 1 to	16
the station for a	16
owner has an active	16
58 year old female	16
in the area and	16
a ride back to	16
yeah we're all set	16
male wearing a gray	16
back in service no	16
2 for medic 1	16
gonna be on the	16
days inn 12019 lake	16
black and brown he	16
54 year old female	16
go ahead this is	16
11 i'm all set	16
truck 1 and medic	16
and out of traffic	16
going in and out	16
brown does not have	16
please you can go	16
route to fairview with	16
to the report room	16
can clear me from	16
male wearing a white	16
a 47 year old	16
and a half story	16
back in service 10-4	16
go ahead detroit and	16
kufner's has a vehicle	16
year old male not	16
high school i'm a	16
school i'm a teacher	16
from truck 1 we're	16
dispatch medic 1 0	16
10 16 out of	16
hour check on a	16
dispatch medic one's back	16
can send me that	15
10-7 24 i'm closer	15
of service for a	15
i'll be able to	15
we'll be out of	15
that should be on	15
i copy and i	15
car 3's on scene	15
49 year old female	15
the jail with this	15
just be advised the	15
25 24 25 24	15
see if there's an	15
dispatch medic 1 will	15
locked her keys in	15
truck 1's en route	15
junior out of cleveland	15
ahead with your traffic	15
all set thank you	15
to pick up the	15
up the jail order	15
engine 3's en route	15
be with you in	15
i'm on the way	15
closer i'll get him	15
211 we'll be 10-8	15
can you add him	15
has an active ccw	15
advised car 2's in	15
the area of madison	15
there was a verbal	15
you guys respond to	15
1 do you need	15
engine 3's in service	15
a male at the	15
a call real quick	15
en route to metro	15
put me back on	15
dispatch medic 2's in	15
on the door and	15
on detroit in front	15
heading back to the	15
herself out of her	15
19 to the front	15
dispatch from station 2	15
a 30 year old	15
we got a call	15
we're good we're good	15
in front of that	15
it was a white	15
she said that they	15
be a squad assist	15
detroit there's a male	15
at the lake house	15
from engine 3 engine	15
3's going to be	15
i talked to the	15
unable to give me	15
i tried to call	15
me back out on	15
a group of people	15
back on the phone	15
said he's going to	15
medic 3's arriving at	15
be out on the	15
come to the door	15
dispatch medic 3's taking	15
could you check the	15
you add him to	15
right now i'll be	15
just north of franklin	15
year old female 5'6	15
requesting we check the	15
clifton the clifton cove	15
the door we'll be	15
engine 2's en route	15
find the phone number	15
be clear from here	15
spoke with that female	15
i'll be at 10	15
we copy thank you	15
valid no wants and	15
transporting one to fairview	15
know if you want	15
and hit his head	15
hazel valid no wants	15
i'm sorry i couldn't	15
medic 3 do you	15
should come back to	15
set here with the	15
we'll be in front	15
if you could put	15
you could put me	15
it's in front of	15
utl we'll be 10-8	15
to call back if	15
let them know that	15
i left a voicemail	15
madison in front of	15
parking lot behind the	15
a ride to the	15
get out of the	15
take care of it	15
and he has a	15
to you in a	15
can you issue me	15
will be out on	15
this is a report	15
you run a dl	15
by name and date	15
can you just send	15
you show me how	15
show me how to	15
wants to speak to	15
to one of the	15
me your report number	15
of gas in the	15
15 can i get	15
north 13330 detroit room	15
in a few minutes	15
be standing by in	15
be with them in	15
them in a second	15
he's a white male	15
1 we're back in	15
2 engine 3 in	15
this will be a	15
are you still set	15
19 for a warrant	15
was advised of his	15
he didn't want to	15
we'll take that for	15
able to get ahold	15
going to be all	15
to be all set	15
respond to that call	15
on the 6th floor	15
i have a female	15
i'll send you the	15
call at 12400 madison	15
i'm sorry could you	15
nature of the call	15
46 year old female	15
what would you like	15
out of lakewood er	15
sure what's going on	15
and if you can	15
and i'll be en	15
all other companies can	15
the phone with her	15
2 are going to	15
door we'll be 10-8	15
all set here i'm	15
i'm going to follow	15
if you can head	15
into the parking lot	15
one's going to be	15
a 24-hour check on	15
she would like to	15
make contact with that	15
to medic 2 medic	15
for a 70 year	15
i sent you the	15
for a 69 year	15
for a warrant pickup	15
wearing a black coat	15
with that female she	15
on the way to	15
with the registered owner	15
year old female her	15
with the male at	15
of the complaint and	15
give him a call	15
trying to catch up	15
9 apr for 36	15
apr for 36 months	15
for 36 months on	15
36 months on the	15
months on the 2026	15
woodhouse buick gmc we	15
buick gmc we are	15
gmc we are professional	15
we are professional grade	15
are professional grade with	15
signing offer applies to	15
offer applies to select	15
applies to select stock	15
to select stock numbers	15
see dealer for details	15
we're in service returning	15
just south of the	15
in service thank you	15
en route with that	15
with a male in	15
1 2 3 truck	15
detroit for a fire	15
1 will be out	15
about 10 minutes ago	15
it looks like they	15
what was the last	15
spoke with a female	15
engine 3 i copy	15
this is just a	15
companies car 2 and	15
they said that they	15
3 is out we'll	15
asked him to leave	15
1 to the haven	15
he's a black male	15
i wasn't able to	15
companies are back in	15
going to be waiting	15
and close the call	15
dispatch to truck 1	15
a 57 year old	15
out with the mail	15
needs help getting up	15
you repeat your traffic	15
this is the last	15
medic 3 we're transporting	15
to the launch list	15
68 year old male	15
1 and medic 1	15
engine 2 go ahead	15
card is valid no	15
assist we'll be 10-8	15
to talk to an	15
can you stop back	15
you let me know	15
you start kufner for	15
2 engine 2 respond	15
we'll be responding from	15
it sounds like it's	15
we don't see anything	15
14312 detroit apartment number	15
we're all set we'll	15
i'll be out there	15
and down the street	15
do you have your	15
male in front of	15
would like him checked	15
from car 2 you	15
medic 1 out of	15
ahead and close this	15
and close this out	15
they're not sure if	15
you add me to	15
add me to the	15
alarm going off in	15
take that for 19	15
i got a 19	15
old male having chest	15
showing we'll be investigating	15
to speak to officers	15
29 can you run	15
the city and in	15
city and in service	15
she is conscious and	15
list please you can	15
complaints that there's a	15
can you start coughing	15
you could head to	15
i'm sorry did you	15
out with that male	15
common spelling date of	15
leave a note for	15
ahead i'll be out	15
wearing a blue shirt	15
go ahead clifton and	15
that was back to	15
gonna be 19 with	15
can save up to	15
medic 1 is gonna	15
date of birth 09	15
20 9 will be	15
2 19 and 2	15
2 can you copy	15
one's out of lakewood	15
for 2 car mva	15
2 17 and 2	15
a 24 hour follow-up	15
we're gonna be out	15
dear visitors thanks for	15
visitors thanks for spending	15
thanks for spending time	15
for spending time and	15
spending time and 1	15
time and 1 600	15
and 1 600 000	15
1 600 000 000	15
600 000 000 a	15
000 000 a year	15
000 a year in	15
a year in our	15
year in our city	15
our city for creating	15
city for creating countless	15
for creating countless new	15
creating countless new memories	15
countless new memories here	15
new memories here while	15
memories here while supporting	15
here while supporting 16	15
while supporting 16 000	15
supporting 16 000 local	15
16 000 local jobs	15
000 local jobs for	15
local jobs for our	15
jobs for our friends	15
for our friends families	15
our friends families and	15
friends families and neighbors	15
families and neighbors 14	15
and neighbors 14 700	15
neighbors 14 700 000	15
14 700 000 of	15
700 000 of you	15
000 of you visit	15
of you visit omaha	15
you visit omaha each	15
visit omaha each year	15
omaha each year for	15
each year for its	15
year for its 1	15
for its 1 in	15
its 1 in 1000000	15
1 in 1000000 charms	15
in 1000000 charms unique	15
1000000 charms unique neighborhoods	15
charms unique neighborhoods world	15
unique neighborhoods world class	15
neighborhoods world class zoo	15
world class zoo distinct	15
class zoo distinct venues	15
zoo distinct venues menus	15
distinct venues menus and	15
venues menus and more	15
menus and more while	15
and more while you're	15
more while you're here	15
while you're here you	15
you're here you don't	15
here you don't just	15
you don't just pay	15
don't just pay us	15
just pay us a	15
pay us a visit	15
us a visit you	15
a visit you pay	15
visit you pay it	15
you pay it forward	15
pay it forward so	15
it forward so thank	15
forward so thank you	15
so thank you visitors	15
thank you visitors sincerely	15
you visitors sincerely omaha	15
year old male who's	14
the owner of this	14
go ahead with it	14
year old male out	14
male he has a	14
turned over to the	14
out of maple heights	14
you guys want to	14
24 25 24 25	14
to see if i	14
in the driveway of	14
did you say you	14
the complaint we'll be	14
he's a qualified adult	14
a qualified adult please	14
respond to o'neill 13900	14
year old female complaining	14
old female complaining of	14
for an elderly female	14
3's out of lakewood	14
no readings on the	14
south of franklin with	14
to drug mart east	14
year old male his	14
and needs a lift	14
lakewood center north 14600	14
center north 14600 detroit	14
a vehicle blocking the	14
be riding with the	14
we have any history	14
didn't know it was	14
were able to get	14
able to get the	14
the stall if you	14
medical 1's on scene	14
car 2's in route	14
1's transporting a male	14
you give us the	14
10-4 15 you can	14
valid permanent id no	14
having a medical emergency	14
a black male in	14
it looks like there's	14
i didn't see any	14
try to make contact	14
we'll be 10-8 for	14
going to come back	14
12511 clifton the clifton	14
14312 detroit the westerly	14
head back to the	14
19 for a transport	14
from medic 2 can	14
2's back in the	14
truck 1 to the	14
carlisle 12900 lake apartment	14
3 will be out	14
have a couple of	14
other side of the	14
you can start kufner	14
want me to send	14
going to remain on	14
to check it out	14
what color is the	14
3 will be en	14
a 50 year old	14
he also has a	14
that male to the	14
it was a black	14
to respond to the	14
call back if he	14
copy that i'll be	14
you in a minute	14
truck 1's going to	14
truck 1's back in	14
a valid temporary permit	14
valid temporary permit no	14
temporary permit no wants	14
added notes we'll be	14
medic 3 we're on	14
year old female difficulty	14
he was able to	14
and advise the jailer	14
take that for one	14
the phone with the	14
3's out at fairview	14
we check the welfare	14
added notes i'll be	14
thinks it might be	14
male that fell and	14
advised of her options	14
to speak with officers	14
all set you can	14
2 is out we'll	14
corner of madison and	14
an odor of gas	14
open the stall door	14
for a male in	14
fell and hit his	14
black valid no wants	14
3 do you need	14
on scene engine 3	14
we're en route from	14
add them to the	14
the launch list please	14
117th and the tracks	14
i just wanted to	14
for the last hour	14
here we'll be 10-8	14
got into a verbal	14
does not have any	14
28 i'll be out	14
can get them from	14
16 year old male	14
give it to me	14
is a report from	14
a report from the	14
report from the office	14
from the office of	14
the office of the	14
office of the attorney	14
of the attorney general	14
i can get that	14
i'm 10-8 with a	14
for a front door	14
i'm on the back	14
there's no answer on	14
can give me a	14
you head that way	14
spoke to the caller	14
you update the address	14
a 33 year old	14
the male that was	14
she was advised to	14
117 in front of	14
i have the plate	14
the fire department at	14
1 copies truck 1	14
be in service this	14
i'll be back in	14
all over the road	14
you can call me	14
back in service we	14
there's nothing showing on	14
investigating all companies go	14
she was on the	14
there's a male that	14
10-4 do you have	14
run a plate for	14
a plate for me	14
there's no need for	14
do we know if	14
guys still set there	14
you 19 for a	14
i'll be speaking with	14
i'll be knocking at	14
meet me at the	14
just go ahead and	14
came to the front	14
have a call for	14
brown she's valid no	14
medic 1 to dispatch	14
i have the notes	14
to call the police	14
detroit just east of	14
in the post office	14
car 2's back in	14
that vehicle will be	14
i don't know where	14
for a 66 year	14
29 are you guys	14
29 i can get	14
the end of the	14
last 6 of them	14
is refusing to leave	14
car 2 from truck	14
80 year old male	14
clifton and manor park	14
engine 3 is also	14
old male with a	14
61 year old female	14
a 67 year old	14
you just add it	14
start a 24-hour check	14
it back over to	14
back over to you	14
due to emergency no	14
it's been there for	14
out with a disabled	14
that should be all	14
plate on the vehicle	14
17 are you all	14
if you need it	14
take that for 20	14
to a male at	14
as soon as i	14
you could send me	14
you speak with the	14
called said there's a	14
route to county with	14
1 is transporting 1	14
a 68 year old	14
and she was advised	14
for a male that's	14
not able to get	14
dispatch do you have	14
medic 3 are en	14
29 we'll be out	14
that there's a male	14
if you can see	14
can hear a male	14
hear a male and	14
45 year old female	14
start heading to the	14
female having trouble breathing	14
she's trying to get	14
warren and lakewood heights	14
medic 1 to handle	14
engine 2 in service	14
there's nothing showing from	14
i added notes and	14
female that fell and	14
received a call from	14
if we have any	14
female not feeling well	14
i can try to	14
able to find a	14
suspended valid id no	14
call us back if	14
all companies are back	14
wire down in the	14
close the call and	14
the call and i'm	14
call and i'm going	14
in a lot of	14
be transporting one patient	14
2 engines 2 and	14
engines 2 and 3	14
24 we'll be out	14
going to 19 to	14
engine 2 en route	14
report number for information	14
just east of the	14
run a listing out	14
the cove community center	14
some mental health issues	14
can you meet me	14
can you let me	14
an older white male	14
a few days ago	14
brown and brown suspended	14
to come to the	14
take that call medic	14
you able to get	14
we're en route back	14
here for a second	14
call me back in	14
19 can you get	14
wearing a black shirt	14
a vehicle i'll be	14
central companies medic 1	14
and 3 medic 1	14
be out of that	14
to get in the	14
close this out and	14
this out and i'm	14
out and i'm going	14
25 you can disregard	14
go ahead with the	14
in the lobby medic	14
is not on file	14
was advised we're 10-8	14
that's supposed to be	14
around the corner 18616	14
we're pulling into the	14
all companies truck 1	14
brown he has a	14
ahead we checked the	14
he said that the	14
companies car 2 respond	14
engine 2 and truck	14
we are going to	14
check the area for	14
we'll head over to	14
en route from the	14
copies medic 3 to	14
2 engine 3 respond	14
bit of a language	14
i'll check this this	14
check this this is	14
this this is the	14
is the last one	14
the last one i'll	14
last one i'll check	14
one i'll check this	14
for a trapped raccoon	14
ahead i'm 10-7 at	14
go ahead we're going	14
ahead we're going to	14
an active ccw permit	14
the license plate is	14
and brown valid id	14
dispatch 3 is en	14
right now you can	14
he's in front of	14
dispatch medic 2 we're	14
10-12 10-12 10-12 10-12	14
i've got a 186-30-60	14
can you copy your	14
i just wanna make	14
it will be 10	14
is gonna be transporting	14
is gonna be a	14
gonna be 10 8	14
2 11 and 2	14
date of birth 01	14
can you check-in the	14
2 15 and 2	14
can you check-in front	14
car 2 is gonna	14
dispatch 3 is on	14
service call at 14312	14
call at 14312 detroit	14
at 14312 detroit apartment	14
woodhouse chevy together let's	14
chevy together let's drive	14
together let's drive with	14
and he's going to	13
are you still on	13
old male out of	13
in front of it	13
should be on it	13
out in a minute	13
towers 12506 edgewater apartment	13
transporting one to lakewood	13
i'm on the ground	13
get you an address	13
it's a white male	13
a white male black	13
place is going to	13
2 medic 2 are	13
an obt for that	13
1's on the scene	13
we'll let you know	13
know if you need	13
117th just south of	13
medic 1 we're transporting	13
we're out of fairview	13
i'd like to speak	13
and i don't see	13
you guys could respond	13
guys could respond to	13
riding with the squad	13
to be transporting a	13
i'm closer i'll get	13
and then hung up	13
there was a black	13
spoke to both parties	13
to the neighborhood officer	13
can we be added	13
we be added to	13
released from the hospital	13
should be in a	13
and green valid no	13
can you start me	13
i'll be in front	13
can you assist a	13
out of east cleveland	13
area of madison and	13
checked the area and	13
out of cleveland she's	13
she wants to speak	13
can you guys respond	13
head to that call	13
hit a parked car	13
dispatch medic 1's arriving	13
the welfare of her	13
56 year old female	13
if you can go	13
permanent id no wants	13
be en route there	13
there's a male on	13
old male is valid	13
to call her back	13
52 year old female	13
on arrival we spoke	13
route to lakewood ed	13
further police involvement we'll	13
parking lot with king	13
29 i have a	13
the plate in a	13
it down we'll be	13
i have a couple	13
can you 19 and	13
or do you need	13
we just got a	13
to be at the	13
left a message for	13
if you can send	13
i'm going to the	13
a direction of travel	13
copy i'm going to	13
arrival we'll be 10-8	13
is on the way	13
21 i can get	13
copy i'll be all	13
for that parking complaint	13
one of the cars	13
back and said that	13
south of berea with	13
i got ahold of	13
a dl out of	13
could you repeat the	13
try to find the	13
can you pick up	13
lakewood heights for a	13
203 i'll be out	13
go ahead car 2	13
you a message with	13
be clear in a	13
north of madison king	13
entry was gained id	13
madison i'll be out	13
117 just north of	13
24 i'll be checking	13
you can go 24	13
do you want that	13
into a verbal argument	13
on the phone said	13
madison for an alarm	13
be in the property	13
year old male named	13
one should be a	13
himself out of his	13
supposed to be there	13
goa we'll be 10-8	13
you issue me a	13
clear here in a	13
88 year old female	13
the area for a	13
the attorney general this	13
attorney general this is	13
general this is a	13
you could just send	13
in front of lakewood	13
ahead and confirm no	13
for felony drugs and	13
you want to check	13
i'm clear from the	13
the area for that	13
just so you guys	13
they're all set up	13
and talk to you	13
in a little bit	13
and see if he's	13
a 17 year old	13
update the address to	13
1 we're going to	13
one patient to fairview	13
crestmont north 13330 detroit	13
want me to call	13
to stand by with	13
i don't know how	13
you're going to have	13
in front of us	13
2 truck 1 to	13
you add a dl	13
the vehicle we'll be	13
a change in mental	13
i'm going to get	13
engine 3 you can	13
vehicle parked in the	13
be in the lobby	13
a number for the	13
him to the premise	13
we have a male	13
called said there was	13
he doesn't have any	13
not valid valid id	13
valid valid id card	13
yes you can go	13
you have a call	13
be in route to	13
are en route to	13
not sure if that's	13
take care of the	13
what was the time	13
company is medic 1	13
be out with 2	13
and see if he	13
could you repeat that	13
you're going to be	13
to find a number	13
a chance can you	13
a 55 year old	13
not sure what's going	13
9 i'm all set	13
appears to be a	13
companies can return to	13
and brown failure to	13
send it to my	13
cleveland 26 year old	13
the post office with	13
and i don't need	13
south of detroit john	13
a female that was	13
you and i'm going	13
to turn it back	13
turn it back over	13
a 59 year old	13
a fire alarm showing	13
10-8 and i'm going	13
a male and a	13
male and a female	13
211 i'll be out	13
been there for about	13
a 24-hour on a	13
i don't have any	13
medic 2 go ahead	13
old male suspended valid	13
are we going to	13
order for the jail	13
there's a couple of	13
clear me from radar	13
speak with the male	13
sent on her way	13
299 dock fee due	13
the pickup when you	13
dispatch medic 3's arriving	13
taking 1 to lakewood	13
out of his apartment	13
medic 3 are out	13
to fairview with 1	13
know if you got	13
has that vehicle and	13
a black female wearing	13
having some type of	13
you want to try	13
advised car 2 is	13
coming out of the	13
shows the plate expired	13
and the other one	13
i just talked to	13
head to the area	13
still accessible i'll be	13
1 and medic 4	13
you 19 to the	13
go ahead with that	13
service this was a	13
with one member of	13
check for a white	13
you can disregard it	13
can you guys go	13
car 2 engines 2	13
57 year old female	13
an obt for the	13
we'll head that way	13
can you check to	13
a 60 year old	13
60 year old female	13
a lot of pain	13
1 will be en	13
give you a 21	13
to the detail and	13
to medic 1 we're	13
old female has a	13
in service i copy	13
truck 1 from dispatch	13
i just sent you	13
1346 cove the upstairs	13
can start heading to	13
2 is in the	13
could try to find	13
1 medic 1 medic	13
for a white female	13
they're on the way	13
out with that vehicle	13
10-4 11 you can	13
a female at the	13
are in service returning	13
you give me that	13
be out in front	13
could just add that	13
like him checked on	13
19 with a female	13
take it from here	13
car 2 you can	13
a 23 year old	13
us to check on	13
i'll get you to	13
off in the area	13
you just see if	13
route to the station	13
close to the intersection	13
do not have a	13
be out of king	13
to take care of	13
be out at lakewood	13
was moderate on arrival	13
you need us to	13
we spoke to that	13
a 64 year old	13
a 2-car mva no	13
he was not driving	13
1 medic 1 car	13
2 are in service	13
11 are you guys	13
11 i'll be all	13
sent on their way	13
station 3 copy medic	13
3 copy medic 3	13
15 i'll be with	13
front of the house	13
still on the phone	13
we can get them	13
of a language barrier	13
at a high rate	13
a high rate of	13
i'm sorry i was	13
know if you have	13
the vehicle will be	13
owner of the car	13
he's not able to	13
a 58 year old	13
is gonna be out	13
and i'll be 10	13
that there's a black	13
engine 3 is arriving	13
complainant said that there	13
year old female that's	13
be a black male	13
was hit by a	13
back to the owner	13
2 we're back in	13
spoke to the male	13
and can you put	13
kufner's go ahead kufner's	13
engine 3 medic 123	13
8 and i can	13
year old male 06	13
got you thank you	13
gonna have a 10	13
one's gonna be back	13
truck one's in service	13
10 8 from the	13
1 should be a	13
date of birth 12	13
of birth is 01	13
truck 1 truck one's	13
be at 10 8	13
find your next vehicle	13
your next vehicle at	13
next vehicle at woodhouse	13
vehicle at woodhouse buick	13
at woodhouse buick gmc	13
woodhouse buick gmc right	13
buick gmc right now	13
gmc right now you	13
now you can save	13
you can save up	13
the 2026 gmc sierra	13
2026 gmc sierra 1	13
gmc sierra 1 500	13
sierra 1 500 or	13
1 500 or save	13
500 or save up	13
save up to 2	13
up to 2 000	13
to 2 000 off	13
2 000 off msrp	13
000 off msrp plus	13
off msrp plus 1	13
msrp plus 1 9	13
plus 1 9 apr	13
1 9 apr for	13
the 2026 gmc acadia	13
2026 gmc acadia woodhouse	13
gmc acadia woodhouse buick	13
acadia woodhouse buick gmc	13
professional grade with free	13
grade with free credit	13
with free credit or	13
free credit or selling	13
credit or selling trading	13
or selling trading at	13
selling trading at 2012	13
trading at 2012 or	13
at 2012 or newer	13
2012 or newer vehicle	13
or newer vehicle 299	13
newer vehicle 299 document	13
vehicle 299 document do	13
299 document do it	13
document do it signing	13
do it signing offer	13
it signing offer applies	13
select stock numbers stock	13
stock numbers stock number	13
numbers stock number b260294	13
stock number b260294 stock	13
number b260294 stock number	13
b260294 stock number b260679	13
stock number b260679 offer	13
number b260679 offer expires	13
b260679 offer expires 06	13
newer vehicle must finance	13
make money work wells	13
money work wells fargo	13
work wells fargo can	13
wells fargo can work	13
fargo can work with	13
a 32 year old	12
brown and brown he's	12
11 i copy that	12
to my work phone	12
go ahead we have	12
has a 10-16 out	12
i'm closer 24 i'm	12
closer 24 i'm closer	12
i'll get you an	12
on the 4th floor	12
verbal argument between the	12
i don't want to	12
that parking complaint on	12
of the complaint we'll	12
is out of liquid	12
there's an odor of	12
2 medic 2's transporting	12
you trying to call	12
i'm on the run	12
we can get a	12
to speak to somebody	12
dispatch medic 3's transporting	12
10-4 29 you can	12
he said there's a	12
i'm going to start	12
vehicle blocking the driveway	12
one member of lpd	12
i can head that	12
117th i'll be out	12
out in a moment	12
a black male with	12
sounds like the male	12
to let you know	12
brown and blue he's	12
year old female 5'4	12
an alarm it's showing	12
take that for 29	12
break for a second	12
i copy i'm all	12
start a squad for	12
me a tow for	12
dispatch medical 1's on	12
down by a male	12
23 i'll be out	12
this was an accidental	12
in the laundry room	12
male in a black	12
medic 3's transporting to	12
male is valid no	12
you repeat the nature	12
in the area but	12
no further police involvement	12
if you guys want	12
in the back garage	12
quiet on arrival we	12
you head back to	12
a male with a	12
the bottom of the	12
we have a phone	12
checks okay we're 10-8	12
a 71 year old	12
year old male on	12
2 copies engine 2	12
out of her apartment	12
en route to lutheran	12
back in service we'll	12
can go ahead with	12
out of parma for	12
llc out of cleveland	12
medic 1 medic 3	12
to remain on scene	12
engine 2 can you	12
1's in service returning	12
medic 2's out at	12
take that for 17	12
it sounds like it	12
it might be a	12
speak to the male	12
have a 10-16c on	12
in front of her	12
i was trying to	12
can you get her	12
a call and see	12
was unable to make	12
put me back out	12
medic 2's out of	12
station 1 copies 24	12
towers 12506 edgewater number	12
was unable to get	12
3 we're on scene	12
and 29 are you	12
21 you can disregard	12
86 year old female	12
old female difficulty breathing	12
detroit and st charles	12
lakewood heights and warren	12
he's all set we'll	12
that for one of	12
1 will be transporting	12
a 10-16 on a	12
i'm just trying to	12
and said that he	12
brown never had a	12
10-16 out of the	12
i have some notes	12
i'll head to the	12
was going to be	12
228 lunch list please	12
companies medic 3 responds	12
medic 3 responds to	12
dispatch are you all	12
could you check in	12
sorry i couldn't copy	12
it was a verbal	12
looks like he has	12
like he has a	12
south of the tracks	12
said there's been a	12
the area there's no	12
sounds like he was	12
in the front lobby	12
if they want to	12
you want to call	12
out of bay village	12
the back hill ending	12
has that vehicle i'll	12
out at the car	12
she's out of the	12
out to move it	12
respond to 14312 detroit	12
i'll head to that	12
a 35 year old	12
south of clifton with	12
added some notes and	12
notes and i'll be	12
she locked herself out	12
locked himself out of	12
call her back and	12
i'll be riding with	12
to separate for the	12
between detroit and franklin	12
in the area for	12
and see if she	12
the plate for the	12
there in a minute	12
for a failure to	12
clear from the jail	12
can you ask him	12
i'll let him know	12
i'm not sure i	12
82 year old female	12
out of county for	12
has a valid temporary	12
to advise and release	12
28 lunch list please	12
come out and move	12
old female said she's	12
respond to lakeshore towers	12
for a vehicle that	12
westbound on detroit from	12
the city we're in	12
dispatch for a warrant	12
code to get in	12
203 i'll be 10-8	12
going to come out	12
and the vehicle was	12
be giving this female	12
was advised we'll be	12
be 10-8 from the	12
car 2 has command	12
parking lot for a	12
with the male he	12
owner of this vehicle	12
she'd like to speak	12
dispatch engine 3 will	12
start heading that way	12
can you make me	12
rush hour is clear	12
can we get the	12
we can head to	12
to your work phone	12
complainant said that the	12
and i didn't see	12
called and said there's	12
and issue me a	12
out at the station	12
back you can just	12
old female having a	12
make contact with a	12
can you copy it	12
he was sent on	12
can you add the	12
and they're going to	12
back if you could	12
to be in front	12
right in the middle	12
route with this female	12
will be all set	12
the rest of us	12
we're 10-8 from the	12
know it's gonna be	12
you have a second	12
service patient refused treatment	12
19 with that male	12
a female lakewood er	12
1's out of lakewood	12
i don't know it's	12
engine 2 is going	12
call back if she	12
10-8 and i'll be	12
to all companies engine	12
to see if you	12
can you have engine	12
will be 10-8 and	12
i copy warren franklin	12
a 39 year old	12
going to return to	12
partially blocking the drive	12
can i just have	12
mileage is gonna be	12
10-4 do you want	12
female having chest pains	12
after the light at	12
get into the building	12
i'm sorry you said	12
15 i copy from	12
break for the second	12
and can you just	12
over to you and	12
to you and i'm	12
i'm en route with	12
i need to know	12
there's a white female	12
company medic 3 respond	12
attempt to make contact	12
male was dropped off	12
there's no signs of	12
you can start kufner's	12
at the front desk	12
on a traffic stop	12
can you confirm that	12
will be standing by	12
scene we'll be out	12
was advised car 2	12
the last name is	12
take that for 2	12
medic 3 from engine	12
so we can get	12
all set at the	12
can you raise the	12
be 19 with a	12
here with the registered	12
brown failure to appear	12
copies we'll be en	12
wearing a black jacket	12
you can put us	12
female said she was	12
as well as the	12
the phone she said	12
female fell and hit	12
she was able to	12
said they have a	12
i just got a	12
out of south euclid	12
description one more time	12
to speak to the	12
car 2 can you	12
they were going to	12
i got it thank	12
have a middle initial	12
for a 65 year	12
old female having trouble	12
going to be coming	12
said he was in	12
the parking lot there	12
driving due to an	12
due to an emergency	12
on scene this is	12
this is medic 2	12
to the hospital for	12
truck 1 is going	12
route to lakewood hospital	12
about 15 minutes ago	12
unknown direction of travel	12
we're out of the	12
for about an hour	12
accessible i'll be 10-8	12
1 medic 1 and	12
with the female at	12
have a plate for	12
old female not feeling	12
there's some type of	12
engine 2 will be	12
to get to the	12
were unable to locate	12
is unable to get	12
3 respond to lakeshore	12
station 1 can you	12
he is valid no	12
respond code 3 to	12
will remain on scene	12
to head to the	12
to check on her	12
male having chest pains	12
and pick up the	12
you check to see	12
scene we'll be investigating	12
he needs to go	12
is transporting a male	12
having issues with his	12
i'm sorry what was	12
can i go in	12
me a call on	12
white male with a	12
in a second i	12
change the location to	12
can show me 10-8	12
if you could assist	12
need it back just	12
be in the parking	12
for a 76 year	12
sorry i didn't copy	12
65 year old female	12
old female said she	12
if you guys are	12
94 year old female	12
lakewood companies in service	12
in contact with her	12
gonna be all set	12
we're going to do	12
can i just get	12
be 19 with mr	12
in regards to the	12
there for a few	12
station 1 truck 1	12
brown valid id no	12
unable to get a	12
madison for a white	12
check on a male	12
can you send that	12
a 48 year old	12
it should be on	12
i can have the	12
truck 1 can you	12
out of the road	12
transporting 1 to lakewood	12
there's a male and	12
we're in the back	12
he's wearing a black	12
he said that he's	12
and brown he has	12
to that call on	12
73 year old male	12
going to pass out	12
i'll be with john	12
11 i can get	12
clifton and west clifton	12
17 i'll be with	12
and can i get	12
having shortness of breath	12
if you can give	12
i sent your message	12
she said that he	12
we're gonna be on	12
the influence of something	12
sam date of birth	12
en route from bunts	12
the parking lot she	12
they were advised and	12
to see if he's	12
medic 2 and truck	12
did not have a	12
like it's gonna be	12
out of the store	12
they were trying to	12
go ahead in front	12
ahead in front of	12
no wants 10-4 thank	12
wants 10-4 thank you	12
we're all set 10-4	12
do you need a	12
guys all set there	12
no wants 10-4 i'm	12
on the tree lawn	12
old female says she's	12
a bit of a	12
go ahead that female	12
at macy's father's day	12
