trigram	count
a male who	29
contact with that	29
let you in	29
212 can you	29
is not in	29
see dealer for	29
you can disconnect	29
is at the	29
and a white	29
be responding from	29
you could try	29
it if you	29
wanna make sure	29
7 i copy	29
they said he	29
14 go ahead	29
said that there	29
a language barrier	29
the of the	29
that was to	29
you just wanna	29
and 2 20	29
medic 1 17	29
suspended no 1	29
06 30 2026	29
you send a	28
my work phone	28
you're good to	28
king paul lincoln	28
what's the address	28
the address for	28
didn't see any	28
scene we have	28
doesn't have any	28
medic is in	28
copy truck 1	28
is medic 2	28
i'm talking to	28
are you going	28
211 i'll be	28
drug mart east	28
could respond to	28
clifton and nicholson	28
going to start	28
have the plate	28
for you guys	28
from the hospital	28
all set 10-8	28
no wants has	28
12 000 building	28
23 i'll be	28
patient was assisted	28
need for transport	28
i tried calling	28
to the car	28
said that she's	28
a parked car	28
going to send	28
hard to understand	28
it we'll be	28
sent on his	28
to the female	28
that there is	28
the first floor	28
hold of her	28
way as well	28
the address is	28
it was an	28
be transporting to	28
copy medic 3	28
dispatch medical 1	28
i didn't get	28
a look at	28
sounds like it	28
a good thing	28
can you change	28
will be transporting	28
how are you	28
contact with her	28
he's on his	28
to be john	28
about 10 minutes	28
here i can	28
don't know what	28
for one of	28
to the bathroom	28
sounds like they're	28
banging on the	28
the key holder	28
to harm herself	28
of birth for	28
add some notes	28
just add that	28
can find a	28
15 i have	28
going to fire	28
back to my	28
the owner came	28
3 do you	28
for a blue	28
the city back	28
was coming from	28
that name and	28
22 are you	28
to return to	28
do not have	28
you gave me	28
parking lot behind	28
that's been parked	28
of the call	28
i added some	28
talk to her	28
said the male	28
between detroit and	28
in my car	28
have the caller	28
going to follow	28
engine 2 will	28
for the tow	28
the driver of	28
for loud music	28
could you get	28
a few times	28
16 you can	28
fell on the	28
and it's a	28
11820 edgewater apartment	28
copies medic 3	28
all companies go	28
brown and hazel	28
you have your	28
84 year old	28
heading that way	28
he doesn't have	28
was sent on	28
the end of	28
out with john	28
away from the	28
check to see	28
female she has	28
of lakewood heights	28
have that way	28
i can call	28
back to his	28
gonna be coming	28
released to the	28
laying on the	28
fire alarm showing	28
for a general	28
a general fire	28
respond back to	28
he is conscious	28
to the right	28
mental health issues	28
woodhouse buick gmc	28
2026 see dealer	28
1 2 3	28
get in contact	28
to the side	28
showing we'll be	28
the executive house	28
the street from	28
i agree i	28
thank you i	28
see if it's	28
they're trying to	28
called it in	28
we'll be clear	28
can start heading	28
ahead we'll be	28
1 and 2	28
could you just	28
was advised and	28
engine 2 we're	28
he was not	28
it sounded like	28
not a kid	28
dispatch back to	28
attention i'm at	28
i'm at attention	28
at attention i'm	28
did not have	28
4 can you	28
1 of those	28
this is gonna	28
6 foot 1	28
the female in	27
i just sent	27
entering agency only	27
for a red	27
for the other	27
area we'll be	27
there on the	27
with them in	27
we're at the	27
back to service	27
transporting one patient	27
of the other	27
3 is that	27
advised we'll be	27
to harm himself	27
3 i'll be	27
be with you	27
the building and	27
was at the	27
by the name	27
needs to be	27
that's out of	27
13 are you	27
medic 1's arriving	27
out of fair	27
like they were	27
you're able to	27
call for a	27
be investigating all	27
i see the	27
you can confirm	27
could you start	27
and then i'll	27
are you set	27
the water department	27
male to the	27
advised that the	27
edward lincoln lincoln	27
tried to call	27
i'll be set	27
might have been	27
2 this is	27
thank you sir	27
party call from	27
cleveland it's a	27
21 you can	27
and i are	27
copy we'll be	27
have a ds	27
over the phone	27
dispatch are you	27
next to the	27
can go 10-4	27
14306 detroit number	27
said he's been	27
she's all set	27
and the owner	27
the complainant was	27
west clifton and	27
answer the door	27
you said the	27
all be 10-8	27
should be the	27
and the female	27
having chest pain	27
make a report	27
out of county	27
female said she's	27
in service we	27
north 13330 detroit	27
engine 2 you	27
as well as	27
a third party	27
the property manager	27
has not been	27
nothing showing on	27
companies go to	27
no signs of	27
87 year old	27
on the third	27
with king henry	27
i'm sorry you	27
a call on	27
going to make	27
will be back	27
of cleveland a	27
front of a	27
white male in	27
check and see	27
and west clifton	27
did you have	27
you can head	27
if they have	27
i'm 10-8 and	27
i'll be heading	27
they did not	27
11 we'll be	27
white female wearing	27
that female she	27
hung up on	27
add her to	27
is transporting 1	27
just stand by	27
hi hi hi	27
old female is	27
in service and	27
got it thank	27
a call please	27
nothing showing we'll	27
sounds like she	27
back up to	27
westerly 14300 detroit	27
out to investigate	27
for the vehicle	27
medic 1 back	27
en route as	27
538- 538- 538-	27
got the we've	27
the we've got	27
there in the	27
god bless god	27
bless god bless	27
the area that	27
just see if	27
agree i agree	27
a kid i'm	27
kid i'm not	27
that's that's that's	27
your number is	27
a white shirt	27
no line no	27
line no line	27
of the of	27
can clear me	27
break go ahead	27
could you put	27
or or or	27
for a trapped	27
kufner's kufner's kufner's	27
10-8 we're 10-8	27
on the radio	27
medic 3 0	27
conscious breathing alert	27
8 with a	27
one of you	26
to the park	26
call him back	26
parking lot and	26
it looked like	26
went to the	26
i'm about to	26
if you don't	26
20 can you	26
22 go ahead	26
going off in	26
actually going to	26
here in the	26
i have no	26
give you the	26
female who fell	26
any kind of	26
bunts and madison	26
medic 1 out	26
odor of natural	26
one patient to	26
westbound on detroit	26
there were no	26
a silver toyota	26
i had to	26
be riding with	26
to use the	26
waiting in a	26
he lives at	26
were you able	26
211 we'll be	26
green valid no	26
sounds like a	26
go i'm closer	26
you're on a	26
is a black	26
this was an	26
sounds like she's	26
call us back	26
of fair view	26
detroit and cove	26
out in front	26
they might be	26
valid permanent id	26
detroit medic 1	26
on the first	26
can go i'll	26
she's not answering	26
i'll head that	26
heading back to	26
15 i'm out	26
25 i'll be	26
but if you	26
what color is	26
also has a	26
i think it	26
a male called	26
ride to the	26
of that address	26
a heart attack	26
good thing it's	26
thing it's a	26
where do you	26
a squad assist	26
is that the	26
to the building	26
engine 3 engine	26
she's on the	26
and he is	26
be out there	26
edward last name	26
and i copy	26
door is open	26
what do you	26
you open the	26
lives in the	26
in a red	26
at fairview hospital	26
vehicle is cited	26
13 i'm 10-8	26
them to the	26
male is going	26
manic-3 manic-3 manic-3	26
with king tom	26
24 are you	26
12 i'm out	26
common spelling last	26
ford station wagon	26
we're out with	26
the one that	26
does not want	26
a 24-hour follow-up	26
king henry queen	26
arriving on scene	26
i need you	26
give him a	26
did not see	26
to die i'm	26
die i'm going	26
a 72 year	26
3 copies medic	26
wants i copy	26
do have a	26
with you guys	26
check on him	26
a disabled vehicle	26
the phone and	26
slow to respond	26
we got it	26
female that was	26
you need anything	26
avenue for a	26
you could add	26
a 19 to	26
the front yard	26
2 from truck	26
find a number	26
at this address	26
engine 2 to	26
with john william	26
in a parking	26
looking at the	26
the burger king	26
car 4 is	26
it on the	26
the address of	26
back at the	26
2-car mva no	26
for a medical	26
in the last	26
received a call	26
8 you can	26
you copy the	26
that the male	26
the vehicle that	26
station for a	26
can hear a	26
19 we'll be	26
sitting on the	26
the cleveland side	26
1 i'll be	26
go ahead for	26
3 we're out	26
on a gray	26
1 if you	26
medic 3 go	26
he was on	26
she is conscious	26
show medic 1	26
they said it	26
i'm gonna go	26
there's a lot	26
madison there's a	26
2 for medic	26
i copy medic	26
call you back	26
gonna be king	26
clifton with john	26
bit of a	26
all set 10-4	26
go ahead detroit	26
225 225 225	26
for the briefing	26
for a 2	26
the 2026 gmc	26
expires 06 30	26
30 2026 see	26
that they have	25
to the parking	25
try to call	25
due to the	25
10-8 can you	25
of service for	25
of our department	25
thank you i'll	25
you i'll be	25
a couple times	25
we didn't see	25
clear from that	25
on to the	25
let me check	25
at the jail	25
right in the	25
of the vehicles	25
king david lincoln	25
have the last	25
for a bit	25
south of berea	25
service patient refusal	25
you going to	25
24 i'm on	25
gray in color	25
to drug mart	25
fell and needs	25
that i'll be	25
11 i can	25
closer i'll get	25
and said he	25
saying that he	25
19 with him	25
madison and warren	25
get him to	25
down by a	25
is a lift	25
raise the stall	25
called about a	25
king union adam	25
going to handle	25
in his apartment	25
2's out we'll	25
engine 3's in	25
first one is	25
walgreens 11701 detroit	25
the nature of	25
and try to	25
a male with	25
and will be	25
you confirm the	25
to the apartment	25
to be clear	25
a parking violation	25
5 i'll be	25
know if there's	25
try and get	25
not getting anything	25
try and find	25
back out on	25
they had a	25
valid temporary permit	25
group of people	25
closer i'm closer	25
229 can you	25
and st charles	25
doesn't have a	25
we check the	25
the clifton cove	25
guys could head	25
a female screaming	25
in her apartment	25
not seeing anything	25
up in a	25
to get back	25
the resident was	25
send me back	25
may i be	25
he has an	25
be with her	25
the call and	25
all set and	25
female at the	25
complainant said he	25
she should be	25
her and her	25
set up here	25
you can open	25
the male he	25
pick it up	25
could you assist	25
29 i can	25
said they have	25
you could advise	25
keys in his	25
call me back	25
service thank you	25
we're 10-8 from	25
just waiting for	25
you have it	25
you 19 for	25
be knocking at	25
be slow to	25
marlowe the haven	25
came to the	25
brown she's valid	25
you know what	25
locked his keys	25
nothing's coming back	25
end of the	25
high blood pressure	25
manor 12400 madison	25
to clear from	25
unable to find	25
copies we'll be	25
85 year old	25
engine 3 from	25
on scene medic	25
still trying to	25
i can't see	25
he was walking	25
is still accessible	25
she's gonna be	25
4 i'll be	25
start a 24-hour	25
27 i copy	25
it right now	25
run a listing	25
to engine 2	25
a male that's	25
black male date	25
for a possible	25
coming out of	25
this is just	25
the plate expired	25
door is locked	25
we were unable	25
wasn't able to	25
is unable to	25
to come to	25
was involved in	25
1 2 and	25
a 77 year	25
will be investigating	25
is not on	25
2 are you	25
and brown suspended	25
companies in service	25
has a history	25
can you do	25
they're not sure	25
are on the	25
spoke to her	25
15 will be	25
the briefing thanks	25
briefing thanks for	25
19 and 2	25
for 10 8	25
1 more time	25
off msrp on	25
i found the	24
and then i	24
an hour ago	24
you want the	24
to that female	24
you get here	24
cautions for violent	24
male he has	24
a 10-16 out	24
just to make	24
to be able	24
from the stop	24
we were there	24
medic 3's taking	24
yelling and screaming	24
i think we're	24
just a moment	24
madison with king	24
clear me from	24
called so there's	24
why don't you	24
he's unable to	24
the gas station	24
on top of	24
5 minutes ago	24
can you print	24
medic 1's going	24
you need any	24
check eastbound on	24
the laundry room	24
out of euclid	24
i'll head up	24
i can't get	24
for that female	24
can you take	24
the caller is	24
on arrival we	24
1 is arriving	24
the other day	24
knocking on the	24
from car 6	24
that way as	24
the correct address	24
king union queen	24
12900 lake apartment	24
will be at	24
up here please	24
and has a	24
make sure that	24
on the left	24
going to remain	24
kufner has a	24
that male to	24
we just got	24
like it might	24
go ahead could	24
could try to	24
a black kia	24
can slow it	24
i'm with them	24
you have that	24
1 are you	24
5 you can	24
park for a	24
the truck park	24
over to lakewood	24
parking lot for	24
just had a	24
call from the	24
john william lincoln	24
and advise the	24
right now i'll	24
truck 1 go	24
a 10-16 on	24
they were in	24
and the complainant	24
she lives in	24
thank you and	24
up at the	24
the cleveland clinic	24
north of clifton	24
you don't have	24
you call the	24
female to the	24
we have an	24
that vehicle i'll	24
vehicle was cited	24
i copy you're	24
24 go ahead	24
it to me	24
gonna stand by	24
the plate for	24
yeah if you	24
this male to	24
can give me	24
a black toyota	24
dispatch for a	24
i'm out at	24
you said you	24
said he has	24
he gave me	24
car's going to	24
i'm pulling up	24
gas in the	24
dl id card	24
possibly having a	24
old male who	24
obt for the	24
didn't want to	24
be heading to	24
1341 marlowe the	24
3 and engine	24
they would like	24
of rocky river	24
the top of	24
cars in the	24
a 75 year	24
medic 2 copy	24
it was in	24
i'm sorry what	24
engine 3 copies	24
able to make	24
you check out	24
should be back	24
transport at this	24
the illuminating company	24
can disregard that	24
you can stay	24
meet you at	24
i'm sorry the	24
the pickup radius	24
car 2 in	24
for a traffic	24
a traffic offense	24
with him and	24
the same thing	24
sleeping in the	24
to madison park	24
eastbound on madison	24
sides we'll be	24
to the resident	24
copy medic 2	24
of the way	24
to come up	24
the westerly 14300	24
looks like she	24
you can hear	24
behind the building	24
little bit of	24
in a lot	24
with the mail	24
contempt of court	24
going back to	24
there's a blue	24
8 can you	24
in the drive	24
she needs to	24
some mental health	24
going to move	24
205 can you	24
did they say	24
if we could	24
advised we're 10-8	24
the name and	24
speaking with a	24
one's out at	24
with her in	24
just wanna make	24
can copy go	24
i'm 10-8 10-4	24
2 0 8	24
car two's out	24
at 10 8	24
have a 10	24
2 19 and	24
or newer vehicle	24
hy vee catering	24
out of our	23
was wearing a	23
could you send	23
and it looks	23
with king queen	23
out of there	23
white male black	23
did you see	23
we're just going	23
i'm 10-8 from	23
can we have	23
and madison for	23
the back garage	23
two of them	23
make sure he's	23
be right back	23
1 we're out	23
junior out of	23
it back to	23
detroit and west	23
loud and clear	23
you get them	23
vehicle that was	23
he said there's	23
a vehicle in	23
lake apartment number	23
healthcare 13900 detroit	23
vehicle blocking the	23
one member of	23
117th and the	23
he's at the	23
like it's going	23
the other cars	23
for unit 2	23
want to let	23
is in a	23
copy i'm all	23
of the male	23
have a listing	23
a white vehicle	23
is a white	23
a black ford	23
i have her	23
back and forth	23
if you're able	23
to the lakewood	23
the 12 000	23
on scene 10-4	23
the area we	23
on detroit in	23
okay we're 10-8	23
downstairs for a	23
go ahead dispatch	23
detroit medic 2	23
respond to a	23
the winton place	23
brown and black	23
can get in	23
he also has	23
i can give	23
having a heart	23
said that his	23
copy if you	23
to around the	23
you could respond	23
so they can	23
service returning medic	23
going to turn	23
brown blue valid	23
he has any	23
can be in	23
they said he's	23
to move the	23
clifton cove apartments	23
dl out of	23
gonna be john	23
advised of her	23
14306 detroit the	23
she was going	23
spoke with both	23
from dispatch are	23
odor of gas	23
of madison king	23
with john mary	23
with king george	23
check westbound on	23
there's a red	23
get them from	23
of clifton with	23
cleveland date of	23
you if you	23
to you in	23
10-4 if you	23
not sure which	23
to detroit and	23
for a front	23
i'll be tonight	23
on a traffic	23
the owner was	23
a listing out	23
in rocky river	23
clifton and hurd	23
15 can i	23
by a car	23
13330 detroit room	23
in his car	23
standing by in	23
by in the	23
for a silver	23
to the fedor	23
hasn't been able	23
i just need	23
company medic 2	23
medic 4 is	23
out of metro	23
medic 1 we	23
scene at the	23
so i'm not	23
number on the	23
care of the	23
back if you	23
202 i'll be	23
a black coat	23
for criminal trespass	23
got a 10-16	23
2 if you	23
be trying to	23
12 you can	23
alarm showing zone	23
service patient evaluated	23
dispatch medic is	23
the lakeshore towers	23
you speak with	23
up on me	23
a black jacket	23
219 can you	23
the male and	23
9 year old	23
that vehicle and	23
one's on the	23
we got the	23
they were going	23
brown valid id	23
with john sam	23
medic 2 i	23
guys head to	23
plate on it	23
make me primary	23
needs help getting	23
female says she	23
yelling at each	23
little bit more	23
chevy 4 door	23
were advised to	23
complainant called back	23
to the carlisle	23
she just wants	23
companies truck 1	23
gonna be transporting	23
with king victor	23
can have the	23
she can hear	23
117 south of	23
she checks okay	23
his way we'll	23
on the 2nd	23
brown he's valid	23
is not working	23
license to confiscate	23
at the days	23
go ahead kufner's	23
for a tree	23
dispatch from cartoon	23
2 11 and	23
truck one's gonna	23
one's transporting a	23
and 2 17	23
truck 2 is	23
on 01 17	23
10 16 c	23
do you wanna	23
be 10 7	23
can you issue	22
to call him	22
oh i see	22
you got a	22
he needs to	22
i got me	22
able to give	22
the fire alarm	22
we're clear from	22
premise file for	22
211 you can	22
when you're done	22
service lift assist	22
11 can i	22
out and moved	22
her keys in	22
do we need	22
copy back in	22
your plate in	22
medic 3's transporting	22
the animal warden	22
if it's the	22
able to locate	22
you're on the	22
male was advised	22
not sure where	22
with a red	22
knock on the	22
issues with the	22
old male 6'1	22
for unit 1	22
meet a male	22
this is for	22
cautions for armed	22
the west drive	22
with that vehicle	22
give us the	22
so i'm going	22
to your car	22
a parking complaint	22
of them are	22
detroit with king	22
engine 3 can	22
respond as well	22
can you find	22
you can also	22
9 are you	22
still at the	22
not on the	22
i'm in a	22
them in a	22
to the vehicle	22
flagged down by	22
on that call	22
13 year old	22
we dealt with	22
make sure you're	22
alarm at the	22
there might be	22
copies 24 i'm	22
with the vehicle	22
looks like that	22
and can i	22
a courtesy ride	22
for the driver	22
in the snow	22
in the bathroom	22
expired no wants	22
be a squad	22
laying in the	22
by a vehicle	22
want to meet	22
that might be	22
for disorderly conduct	22
for that parking	22
he said his	22
10-8 i can	22
there's going to	22
for the day	22
at warren and	22
female having a	22
about 20 minutes	22
working on it	22
detroit and cook	22
26 can you	22
to come down	22
with the other	22
on the plate	22
the area there's	22
you want that	22
we're looking for	22
not have any	22
they do not	22
5 i copy	22
a driver's license	22
king sam david	22
they said the	22
let you guys	22
she was on	22
28 can you	22
station wagon expires	22
is the last	22
to get some	22
i'm out on	22
both of them	22
i think the	22
at the carlisle	22
18 you can	22
we can go	22
by while she	22
you try and	22
can you update	22
in the road	22
off the highway	22
that the female	22
be giving this	22
go ahead you	22
car 10 go	22
218 can you	22
as far as	22
you stop in	22
it's not coming	22
having a stroke	22
can you verify	22
old male 5'10	22
will be a	22
what's the report	22
just talked to	22
have a number	22
brown not valid	22
meet me at	22
female in her	22
the 6th floor	22
company called in	22
warrant pick up	22
to your work	22
notes were added	22
the east drive	22
john young x-ray	22
this female is	22
for a 75	22
john victor charlie	22
is back open	22
to be checking	22
that call at	22
okay i'll be	22
3 is also	22
copy warren franklin	22
parking lot on	22
you need a	22
where he's at	22
should have a	22
a white chevy	22
for the female	22
between madison and	22
2 could you	22
called there's a	22
that lives in	22
but there's no	22
a white toyota	22
off at the	22
going to wait	22
copy engine 3	22
upstairs for a	22
the last one	22
do you think	22
says there's a	22
he is valid	22
that vehicle on	22
king sam union	22
3 if you	22
the building department	22
be transporting one	22
have the owner	22
to 19 to	22
19 i can	22
car mva no	22
male in his	22
walking in the	22
they were on	22
attention medic 2	22
do that i'm	22
for the detail	22
a better location	22
anything like that	22
i copy franklin	22
kufner's has a	22
that i'm not	22
to close the	22
you need us	22
and i'm sorry	22
that will be	22
go ahead in	22
go ahead first	22
gonna be 19	22
truck one's on	22
10 16 on	22
up to 10	22
is able to	21
right now i	21
to call us	21
we have to	21
owner of this	21
on the run	21
okay i copy	21
a 37 year	21
the detail please	21
copy and i	21
can advise and	21
said he had	21
engine 2's on	21
a 34 year	21
can head that	21
the jail for	21
in service lift	21
with king mary	21
to o'neill 13900	21
out of liquid	21
with a j	21
i'll be off	21
detroit complainant said	21
ahead with your	21
that parking violation	21
up the jail	21
what was that	21
with you in	21
with a vehicle	21
in pursuit of	21
can respond to	21
speak with her	21
going to add	21
the red light	21
member of lpd	21
i'm closer i'll	21
male to lakewood	21
like the male	21
we got him	21
brown out of	21
just let them	21
the driveway and	21
king ocean adam	21
13 i'm all	21
eastbound on clifton	21
of detroit king	21
medic 3 transporting	21
it to my	21
9 we'll be	21
go in the	21
is a male	21
an eye on	21
llc out of	21
and let them	21
we'll be back	21
you like us	21
number for a	21
honda 4 door	21
with us now	21
around the area	21
welfare of a	21
got ahold of	21
with her boyfriend	21
to keep it	21
you haven't already	21
there should be	21
engine 2 can	21
check around the	21
could just check	21
getting anything back	21
you can leave	21
the hilliard bridge	21
1 and truck	21
86 year old	21
engine 2 in	21
10-7 at the	21
requesting we check	21
to the lake	21
we'll be turning	21
medic 3's arriving	21
21 i can	21
he is suspended	21
1 this is	21
service medic 1	21
24 i'm all	21
i copy the	21
sounds like they	21
door we'll be	21
to go with	21
run a name	21
options we'll be	21
knocked on the	21
on a 2015	21
to go on	21
28 10-7 lunch	21
hazel valid no	21
have a vehicle	21
to clifton and	21
i'll go to	21
male having difficulty	21
complainant said she	21
launch list please	21
13 we're 10-8	21
call back and	21
you can let	21
we're speaking with	21
i just spoke	21
the driveway is	21
that would be	21
right here i'll	21
i'll get it	21
the other units	21
you can you	21
no answer on	21
10-8 with the	21
the description of	21
is a qualified	21
24 thank you	21
you meet a	21
and pick up	21
assist a female	21
have that male	21
21 are you	21
to one of	21
stay on the	21
the other vehicle	21
out of akron	21
of detroit john	21
old female suspended	21
up here and	21
you can take	21
that's in the	21
owner has an	21
i'll be sending	21
there's a large	21
you need it	21
a dl id	21
her a call	21
guys still set	21
there's no one	21
king ida david	21
yes you can	21
try to locate	21
driver of the	21
222 can you	21
area of detroit	21
for you to	21
a 74 year	21
if you get	21
sorry could you	21
to gain entry	21
car in the	21
a check on	21
sure if they	21
westbound on clifton	21
if they need	21
service this was	21
in service for	21
a 70 year	21
prior to my	21
can you notify	21
out of your	21
you could head	21
with her and	21
be waiting outside	21
saying that her	21
set here i'm	21
female having chest	21
that was on	21
the resident there	21
king david victor	21
detroit car 2	21
a female and	21
need a 19	21
male and a	21
car is going	21
of the business	21
in the tree	21
if you can't	21
he's out of	21
right next to	21
officer's out with	21
you can respond	21
want to give	21
door on the	21
says she has	21
in detroit with	21
us a call	21
female fell and	21
and she has	21
like she was	21
medic 2 back	21
was the last	21
hear a male	21
the vehicle i	21
engine 3 i	21
on the cleveland	21
of the westerly	21
working on the	21
just spoke to	21
to get that	21
back with that	21
do not see	21
12400 madison the	21
on the call	21
and she's not	21
so if you	21
she lives at	21
passed out in	21
a white honda	21
attention car 2	21
79 year old	21
when you copy	21
you add that	21
gonna be checking	21
no driver's license	21
caution for violent	21
add it please	21
19 i have	21
you go back	21
on scene we're	21
called he said	21
sorry i didn't	21
in the same	21
older white male	21
start kufner for	21
head code 3	21
go ahead henry	21
get you to	21
to the days	21
was advised we're	21
close the show	21
if he was	21
hour check on	21
for the evening	21
on the bike	21
back i'm going	21
go ahead madison	21
id card only	21
go ahead there's	21
go ahead it's	21
to voice mail	21
dispatch medic two's	21
11 and 2	21
will be tonight	21
2 14 and	21
to 10 000	21
10 000 off	21
with that mail	20
a female with	20
a call to	20
now if you	20
her phone number	20
the travel lodge	20
old male 6'2	20
she's out of	20
was turned over	20
honda station wagon	20
you guys want	20
i think he	20
don't want to	20
here i'm going	20
keys in her	20
in a little	20
have a traffic	20
the phone he	20
i copy we're	20
complainant said the	20
the call we're	20
to the animal	20
if you see	20
king ocean victor	20
medical alert button	20
was last seen	20
be transporting a	20
it's got a	20
the store and	20
vehicle in front	20
female has a	20
in the morning	20
in the rear	20
route to that	20
okay if you	20
the neighborhood officer	20
madison complainant said	20
i'll be trying	20
wants has an	20
this is special	20
medical 1's on	20
by a male	20
2's in route	20
him out of	20
she can't get	20
2 copies car	20
the vehicle i'll	20
plate for the	20
she does have	20
let us in	20
name is going	20
i'll be following	20
2's out of	20
to call them	20
the female at	20
any further police	20
us to respond	20
order against him	20
it doesn't look	20
they said she	20
he was trying	20
a white jeep	20
he doesn't know	20
herself out of	20
3 we're on	20
i'll get your	20
meet you guys	20
there if you	20
bunts and detroit	20
i couldn't find	20
at the light	20
2's out at	20
central company medic	20
ahead could you	20
and advised that	20
and trying to	20
from madison and	20
number is going	20
the railroad tracks	20
a message for	20
3's going to	20
be transporting shortly	20
and is now	20
me back out	20
as well and	20
meet at the	20
could you guys	20
they're unable to	20
a false alarm	20
and franklin with	20
through the door	20
they have an	20
black female wearing	20
from the report	20
copy do you	20
close out the	20
out the call	20
call we're going	20
you for your	20
them on the	20
and he's not	20
there is an	20
and she thinks	20
all set you	20
i'm sorry it's	20
female that lives	20
with both parties	20
12 000 edgewater	20
a 29 year	20
her she said	20
sorry i was	20
king ida frank	20
it was coming	20
cars going to	20
the launch list	20
madison i'll be	20
205 are you	20
the traffic stop	20
us to stand	20
the front lobby	20
the date of	20
they're on their	20
arrest for dci	20
match thank you	20
i have one	20
out to move	20
the address on	20
is parked in	20
a 62 year	20
in a sec	20
88 year old	20
9 go ahead	20
thanks for watching	20
you're good you're	20
good you're good	20
a license plate	20
the cad number	20
know if we	20
one's closer can	20
called in a	20
a date of	20
medic 3 responding	20
lakeshore towers apartment	20
you update the	20
madison and lincoln	20
been out there	20
if he's qualified	20
a black jeep	20
10-7 if you	20
take 1 to	20
can you raise	20
with a gray	20
out investigating all	20
give me that	20
of this vehicle	20
advised car 2	20
still set there	20
taking a female	20
i'll be speaking	20
about 15 minutes	20
we're gonna go	20
and this is	20
just go ahead	20
she's having a	20
be 10-7 at	20
address for the	20
both of those	20
that's my driver	20
send you the	20
the time of	20
be out here	20
clifton and lake	20
a 66 year	20
head there as	20
that vehicle we'll	20
detroit with john	20
with john young	20
with john john	20
we'll be coming	20
mckinley for a	20
125 06 edgewater	20
i was on	20
you just give	20
i didn't hear	20
to attempt to	20
you stop up	20
she thinks it's	20
be my driver	20
here as well	20
1 over to	20
with john zebra	20
said he just	20
you could have	20
sorry you said	20
he lives in	20
3 are out	20
has it 10-8	20
with king boy	20
from warren and	20
a 69 year	20
in a wheelchair	20
stop at the	20
all set at	20
at the hospital	20
for the jail	20
can advise the	20
did not want	20
male he fell	20
out of traffic	20
and then we'll	20
we'll head over	20
you guys at	20
driveway still accessible	20
for a loud	20
10 minutes ago	20
that you can	20
right now i'm	20
i'm gonna try	20
chest pains and	20
king edward queen	20
old female says	20
go ahead just	20
is just a	20
not want to	20
old female not	20
you 19 to	20
put it in	20
we're gonna head	20
did the caller	20
out on a	20
for this male	20
go get my	20
get my phone	20
phone i'm going	20
blonde and blue	20
7 year old	20
cove community center	20
in the face	20
you meet me	20
over here on	20
car 2 you	20
i'll be fine	20
they got a	20
it out of	20
or anything like	20
with the tow	20
female to lakewood	20
and down the	20
17 will be	20
a vehicle on	20
head down to	20
ride back to	20
got a 19	20
know if the	20
wants to talk	20
in color expires	20
and 2 14	20
the show i'm	20
show i'm going	20
all companies truck	20
be 10-8 i	20
out of rocky	20
and brown he	20
a couple calls	20
king victor tom	20
the west end	20
i can check	20
the carlisle 12900	20
2 and 2	20
leave a note	20
17 and 2	20
8 and i	20
white male date	20
go ahead clifton	20
go ahead medic	20
start a 24	20
car two's en	20
or 10 8	20
i just wanna	20
on 10 7	20
1 17th in	20
25 and 2	20
find your next	20
or save up	20
me a second	19
i can send	19
we're talking to	19
him he said	19
out of brooklyn	19
16 out of	19
if she has	19
has a 10-16	19
plate here in	19
i'm closer 24	19
it for me	19
right now we're	19
here if you	19
82 year old	19
go code 3	19
is the owner	19
parking complaint on	19
if there's an	19
out of control	19
setting back up	19
king union sam	19
warren in front	19
brown suspended no	19
medic 2's transporting	19
in on the	19
black male black	19
10-7 in the	19
to take that	19
we're in a	19
to take the	19
on a 24	19
can i copy	19
franklin with king	19
with king ocean	19
respond to drug	19
the jail order	19
from the elevator	19
we're about to	19
about to clear	19
on the truck	19
out for me	19
i have your	19
to break into	19
he is breathing	19
sorry go ahead	19
a female is	19
released from the	19
she's not feeling	19
in his vehicle	19
want to speak	19
an active ccw	19
was advised car	19
change it to	19
you assist a	19
wire down in	19
on the lake	19
a male is	19
just called and	19
for a smoke	19
copies car 2	19
a dark blue	19
was an accidental	19
you guys respond	19
that call in	19
checked all the	19
of the truck	19
vehicle is goa	19
going to clear	19
en route there	19
advised to call	19
it can you	19
to the store	19
male he's suspended	19
to know if	19
here on the	19
was parked in	19
dropped off at	19
14312 detroit the	19
a key holder	19
medic 1 responding	19
14312 detroit number	19
the station with	19
in the room	19
i copy back	19
truck 1's on	19
a copy of	19
down we'll be	19
from lakewood heights	19
me a landline	19
to start a	19
checking for that	19
they were both	19
lakeland for a	19
we're gonna need	19
nora last name	19
you guys out	19
at the lake	19
that i have	19
can get it	19
open the door	19
when you guys	19
to the lobby	19
at the er	19
screaming at each	19
pick him up	19
she might have	19
on it and	19
in service the	19
i'll meet you	19
was advised not	19
him right now	19
closer i can	19
head to lakewood	19
old male 5'8	19
lincoln last name	19
hold of him	19
a 40 year	19
for a pickup	19
of the roadway	19
a vehicle that's	19
no damage to	19
the phone she	19
can start a	19
be at 10	19
that lives there	19
silver in color	19
the last couple	19
sorry i couldn't	19
i'm speaking with	19
get back to	19
24 i'm 10-8	19
out with henry	19
that as well	19
10-8 if you	19
you could put	19
out of south	19
you repeat your	19
the last hour	19
there's no issues	19
for the rest	19
if they want	19
call the police	19
you should be	19
