bigram	count
last couple	20
clifton henry	20
we're taking	20
should come	20
he will	20
10-8 if	20
could put	20
there's anything	20
a cch	20
please i	20
i call	20
call cleveland	20
mike 3	20
match thank	20
the trigger	20
because she's	20
one should	20
20 is	20
vehicle she	20
a break	20
advised he's	20
205 i'm	20
a piece	20
can't tell	20
all 10-8	20
valid at	20
on delaware	20
set the	20
their options	20
88 year	20
that vehicle's	20
and be	20
come get	20
9 go	20
henry union	20
pulling in	20
the mark	20
franklin i'll	20
closer than	20
gold coast	20
car she	20
david ocean	20
of time	20
live at	20
5 are	20
along with	20
back as	20
value world	20
north and	20
go out	20
edgewater lakeshore	20
using the	20
and park	20
come for	20
right shoulder	20
white and	20
okay that	20
day and	20
check a	20
fire at	20
entry gain	20
was this	20
their phone	20
dealer plate	20
department at	20
we're up	20
clifton complainant	20
think i'm	20
edward tom	20
change in	20
marginal and	20
to 117	20
address here	20
arriving fairview	20
lakewood high	20
health problems	20
10-4 18	20
of garfield	20
still up	20
for mutual	20
building on	20
fairview engine	20
still out	20
ask for	20
someone in	20
attention to	20
thought he	20
and issue	20
i might	20
a king	20
a 66	20
like them	20
jailer please	20
can run	20
or black	20
still here	20
couldn't tell	20
the harborview	20
valid driver	20
her i	20
of chest	20
it didn't	20
entry into	20
to commit	20
are responding	20
way for	20
2 just	20
refuse transport	20
unit 3	20
again i	20
to grab	20
this apartment	20
we still	20
24 we	20
on hold	20
from cove	20
number of	20
just bring	20
with engine	20
city for	20
make money	20
mva in	20
12050 lake	20
and break	20
be apartment	20
his brother	20
possibly broke	20
michael towers	20
alarm is	20
mary zebra	20
comes in	20
tracks with	20
that time	20
a 69	20
more minutes	20
15 did	20
unknown if	20
bring a	20
grab a	20
19 if	20
on lewis	20
the entire	20
police and	20
park i	20
high rate	20
rate of	20
possibly in	20
remove the	20
rapid station	20
see dispatch	20
is off	20
is around	20
driveway still	20
time he	20
dispatch do	20
both the	20
screaming for	20
stage on	20
the smoke	20
the cvs	20
gray suv	20
the 20	20
right outside	20
you doing	20
their vehicle	20
my screen	20
female possibly	20
lot there	20
like we're	20
okay yeah	20
ahead just	20
they may	20
area we're	20
a commercial	20
a part	20
stated she	20
a primary	20
the wheel	20
he pulled	20
number if	20
dispatch is	20
think you're	20
from athens	20
of cars	20
we're passing	20
here a	20
the stove	20
boy queen	20
a low	20
the down	20
the history	20
7 year	20
second service	20
i still	20
11 at	20
commodore club	20
to to	20
yeah with	20
can help	20
called from	20
they're moving	20
complaint that	20
they told	20
dispatch in	20
my desk	20
she asked	20
advised for	20
in 2	20
zebra paul	20
get off	20
that matches	20
what happened	20
that's okay	20
home now	20
service engine	20
for for	20
on wyandotte	20
228 copy	20
in riverside	20
out walking	20
her dl	20
1 should	20
show i'm	20
adam boy	20
gmc sierra	20
is 5	20
14 detroit	20
dispatch 1	20
117 detroit	20
couple calls	20
you ma'am	20
to normal	20
called me	20
see her	20
copy sir	20
that keeps	20
gas company	20
a teacher	20
the 11th	20
door the	20
ahead clifton	20
medical or	20
or i'm	20
212 we're	20
navy federal	20
be 1	20
wanna check	20
20 12	20
20 3	20
one's arriving	20
2 80	20
o 6	20
2 70	20
ford 4	20
they wanna	20
1 sec	20
we're 108	20
or save	20
he found	19
we're ready	19
not yet	19
we'll do	19
who are	19
outside for	19
as an	19
of brooklyn	19
female a	19
struggling to	19
his id	19
a bag	19
be transferring	19
closer 24	19
turning on	19
berea and	19
a 25	19
street on	19
10-4 we	19
telling me	19
me now	19
202 to	19
wants her	19
area the	19
82 year	19
fell out	19
a free	19
go code	19
head on	19
alright thank	19
of control	19
to cut	19
please call	19
continue with	19
a 2006	19
be delayed	19
you gonna	19
that does	19
it still	19
the apartments	19
the mcdonald's	19
she's requesting	19
union paul	19
about 2	19
it's from	19
we're done	19
to fix	19
then hung	19
familiar with	19
a north	19
hear any	19
all on	19
hospital and	19
toyota rav4	19
union john	19
for 29	19
silver chevy	19
you over	19
you would	19
mva and	19
you off	19
off i	19
in berea	19
could go	19
read the	19
those back	19
edward zebra	19
23 go	19
happened in	19
numbers on	19
paul john	19
male had	19
on arthur	19
in now	19
with 3	19
route there	19
117th for	19
note that	19
complainant he	19
toyota station	19
i made	19
garage for	19
he stated	19
i'm being	19
but said	19
the bottom	19
are for	19
2 responding	19
for detail	19
hasn't moved	19
alger and	19
her or	19
disregard they	19
unsure what	19
victor young	19
that mva	19
about 30	19
a driveway	19
to traffic	19
like one	19
24 if	19
for 17	19
locked up	19
and meet	19
plate and	19
are arguing	19
house she	19
was leaving	19
door at	19
a door	19
me any	19
my cell	19
a 28	19
mercury music	19
nora george	19
truck in	19
way there	19
arthur and	19
a gentleman	19
was actually	19
says a	19
who's the	19
exterior check	19
completely blocking	19
and hopkins	19
out if	19
be aware	19
side and	19
off there	19
tom charlie	19
person on	19
henry boyd	19
her now	19
good job	19
truck that's	19
229 copy	19
with officers	19
dispatching car	19
ahead car	19
they'd like	19
got his	19
he's set	19
out she's	19
to 24	19
14601 detroit	19
mike henry	19
somebody from	19
party that	19
about him	19
hit it	19
white volkswagen	19
made a	19
scene engine	19
listing back	19
him i'll	19
heard anything	19
lakeland and	19
repeat your	19
both be	19
any information	19
they give	19
any info	19
female i'm	19
adam 9	19
you we'll	19
last hour	19
apartment 7	19
because they're	19
yeah they're	19
turned on	19
out lakewood	19
16407 detroit	19
how long	19
nora david	19
name sam	19
ford explorer	19
brown failure	19
kia sportage	19
a 16	19
called out	19
wanted us	19
union george	19
santa fe	19
at 9	19
off i'll	19
number 305	19
into an	19
does this	19
all that	19
telling you	19
thinks he's	19
medical is	19
we're actually	19
see this	19
number from	19
for work	19
with all	19
towers number	19
dispatch 23	19
moved 10-8	19
there can	19
female date	19
too much	19
lane 4	19
2 it's	19
the 90	19
and another	19
where they're	19
it's okay	19
scene here	19
have lpd	19
on 7	19
said they'll	19
left northbound	19
stop sign	19
charlie george	19
ida robert	19
name for	19
park road	19
who called	19
18616 detroit	19
212 i	19
bike lane	19
anything i	19
the bench	19
a change	19
where is	19
believes she	19
and lewis	19
to live	19
which way	19
negative i	19
truck that	19
and refused	19
of 2026	19
along the	19
start off	19
couldn't give	19
a dodge	19
we received	19
desk i'm	19
be cleared	19
only thing	19
number 12	19
how do	19
maybe a	19
72 copy	19
70 to	19
apartment 102	19
drive with	19
long as	19
door i	19
thoughts of	19
night we'll	19
were trying	19
the alger	19
one from	19
going down	19
the officer	19
it you	19
you're looking	19
to show	19
patient and	19
here from	19
what apartment	19
side streets	19
he'd like	19
arrival i	19
and dispatch	19
normal response	19
male about	19
guess the	19
2 check	19
concerned because	19
george x-ray	19
11 if	19
vehicle just	19
hyundai sonata	19
to 1346	19
and having	19
this has	19
information i	19
is possibly	19
parties involved	19
in cad	19
10-4 that	19
heading towards	19
here she	19
one's going	19
clearance for	19
minutes out	19
with these	19
if you'd	19
possibly be	19
union boy	19
right before	19
list back	19
clifton edwards	19
year for	19
his address	19
10 are	19
coming over	19
turned around	19
them they're	19
silver sedan	19
male sitting	19
first time	19
strong odor	19
or more	19
turn to	19
offer expires	19
sam lincoln	19
be setting	19
believes the	19
the occupants	19
3 sides	19
union mary	19
here they	19
working in	19
smell of	19
stop sharing	19
sharing my	19
screen i'm	19
to cross	19
to 8	19
12 will	19
parties they	19
on alger	19
a 36	19
shows suspended	19
service return	19
service car	19
broke her	19
huntington bank	19
is robert	19
1511 warren	19
have for	19
leave me	19
sound of	19
the 5th	19
primary and	19
lincoln robert	19
cars parked	19
david ida	19
location please	19
harassing her	19
female the	19
please put	19
d s	19
your lights	19
stay there	19
lincoln union	19
2 engines	19
other party	19
couple more	19
brown dl	19
20 19	19
12112 madison	19
second i	19
driving by	19
had it	19
with 10	19
should i	19
primary on	19
female out	19
time we're	19
1365 clarence	19
was your	19
some work	19
that list	19
lobby medic	19
say they	19
14 we're	19
asked them	19
you're here	19
the wire	19
a vin	19
pass out	19
is sighted	19
a mile	19
about 6	19
14 are	19
respond over	19
19 back	19
loud party	19
fairview 10-4	19
clifton a	19
chevy traverse	19
gonna stop	19
front porch	19
so there	19
with lpd	19
bathroom i'm	19
11th street	19
spelling date	19
kia 4	19
ahead victor	19
10 o	19
hundred 17	19
7 lunch	19
2 01	19
1 30	19
'20 2	19
expires 05	19
5 108	19
retired courtesy	19
make us	18
still all	18
off that	18
this guy's	18
at metro	18
called him	18
3 times	18
i'm the	18
and threatening	18
the i'm	18
clear it	18
10-7 24	18
tom ocean	18
ocean boy	18
person in	18
other one's	18
car 3's	18
don't worry	18
sam ocean	18
i'm free	18
blonde blue	18
ask her	18
yes we	18
you attempt	18
meet him	18
who it	18
arrival the	18
4th floor	18
a whole	18
205 i'll	18
of elyria	18
driveway of	18
minutes to	18
just took	18
there too	18
madison to	18
vin for	18
want you	18
moved the	18
is complaining	18
you trying	18
that first	18
into their	18
ago she	18
set thank	18
mcdonald's parking	18
car keys	18
can stand	18
10-8 we'll	18
it open	18
at 22	18
woke up	18
here's a	18
the best	18
medic on	18
transferred to	18
117th i	18
i'm watching	18
low blood	18
nick adam	18
mva on	18
10-4 20	18
24 in	18
sam king	18
arrived on	18
a working	18
clifton car	18
suspect vehicle	18
bunts the	18
that went	18
this should	18
try calling	18
there we'll	18
the kirtland	18
you actually	18
on something	18
an incident	18
listing john	18
call real	18
blacked out	18
from hilliard	18
getting the	18
area but	18
clifton clifton	18
involvement we'll	18
on edwards	18
madison lakewood	18
just drove	18
more in	18
detroit o'neill	18
11849 edgewater	18
202 are	18
doesn't sound	18
i'm 19	18
6 to	18
george william	18
it's apartment	18
10-7 thank	18
to st	18
clifton to	18
they spoke	18
live music	18
a drug	18
clear i'm	18
frank queen	18
id and	18
currently in	18
scene with	18
copy 2	18
zebra queen	18
of water	18
and maybe	18
here he	18
alright i	18
213 can	18
there's one	18
to enter	18
217 10-7	18
location of	18
black sedan	18
70 i'll	18
guys to	18
saying he's	18
back down	18
client said	18
why i	18
could assist	18
for detroit	18
it's clear	18
reach out	18
vehicle 10-8	18
this and	18
female difficulty	18
he's right	18
we'll need	18
a cage	18
me is	18
where that	18
then a	18
217 i'm	18
heart rate	18
and 70	18
first names	18
he ran	18
a 2007	18
they checked	18
we try	18
didn't come	18
26 you	18
manor apartments	18
the gun	18
robert young	18
blue in	18
her options	18
beats clear	18
from where	18
victoria court	18
a m	18
know he	18
21 disregard	18
swing by	18
myself a	18
to property	18
the northeast	18
send an	18
be bringing	18
photo of	18
lot she	18
lincoln sam	18
message with	18
who said	18
vehicle break	18
26 clifton	18
robert henry	18
turn in	18
the father	18
on behalf	18
and 26	18
ford f-150	18
or 3	18
3 this	18
charlie 1	18
we're tight	18
1 detroit	18
scene for	18
his parents	18
something to	18
to first	18
heads up	18
ida george	18
lakewood here	18
it copy	18
10-4 medic	18
to 14312	18
like in	18
this thing	18
27 to	18
you later	18
sheriff's office	18
i'm unable	18
205 i	18
smith out	18
secure we'll	18
back off	18
house the	18
you're checking	18
number 106	18
edward henry	18
a stop	18
scene in	18
the colonial	18
heading out	18
with 20	18
no issue	18
16 are	18
me his	18
has one	18
i transfer	18
phone calls	18
is getting	18
this a	18
also advised	18
did that	18
head out	18
8 will	18
because it	18
madison just	18
for apartment	18
she hit	18
her left	18
211 go	18
first federal	18
14806 detroit	18
nothing comes	18
adam young	18
driving erratically	18
lot i'll	18
the issue	18
help her	18
the protected	18
in mental	18
verify the	18
25 we'll	18
place 12700	18
like some	18
warrant and	18
the eastbound	18
have somebody	18
reserve to	18
employee called	18
her since	18
2 parties	18
that detail	18
westbound just	18
here no	18
the fingerprint	18
was here	18
and lakeland	18
now just	18
nobody in	18
note to	18
detail can	18
1 patient	18
just print	18
tree that	18
transfer to	18
the valley	18
go talk	18
15027 detroit	18
6 year	18
house apartment	18
just having	18
clear we're	18
female locked	18
the signal	18
be closed	18
and grace	18
28 to	18
detroit cove	18
male locked	18
1370 sloan	18
as long	18
a 6	18
they all	18
yeah that	18
standby for	18
probably just	18
what would	18
walgreens parking	18
2 vehicles	18
fell off	18
5 copy	18
the bed	18
franklin hopkins	18
4 in	18
be down	18
could disregard	18
just needed	18
sure what's	18
and talking	18
reason for	18
middle school	18
companies from	18
health care	18
next one	18
following her	18
george sam	18
phone saying	18
back by	18
gonna leave	18
a 100	18
social security	18
male passed	18
a older	18
male we	18
1292 cove	18
be robert	18
up right	18
14815 madison	18
been trying	18
1375 west	18
paul x-ray	18
a drop	18
is sam	18
direct to	18
can someone	18
stall and	18
24-hour on	18
make entry	18
out we're	18
are two	18
on ridgewood	18
sent your	18
the message	18
order for	18
and they'll	18
is fine	18
male walking	18
cancel kufner	18
it wasn't	18
special medic	18
we're also	18
copy 22	18
road conditions	18
cut off	18
for details	18
robert george	18
an old	18
what did	18
19 10-7	18
no smoke	18
sam victor	18
1 member	18
lpd on	18
but can	18
apartment 401	18
a 65	18
the case	18
of mental	18
he's moving	18
1 down	18
edward paul	18
doesn't need	18
the kitchen	18
got your	18
room for	18
no way	18
be leaving	18
some issues	18
the generator	18
severe pain	18
2400 madison	18
cleveland at	18
is george	18
white truck	18
he's refusing	18
let cleveland	18
to hit	18
go into	18
tom king	18
respond in	18
x-ray henry	18
got multiple	18
like me	18
copy bunts	18
officers on	18
that alarm	18
were talking	18
more difficult	18
influence of	18
service i	18
assist we'll	18
blood sugar	18
couple days	18
we'll respond	18
on both	18
sent to	18
sure go	18
and your	18
upset that	18
the commodore	18
further issues	18
a 76	18
14013 detroit	18
said this	18
ask them	18
same address	18
finishing up	18
11720 edgewater	18
please send	18
my complainant	18
to pass	18
23 are	18
snow check	18
adam william	18
somebody in	18
lake unit	18
he goes	18
lot off	18
before they	18
permit id	18
4312 detroit	18
everything you	18
just tell	18
12520 edgewater	18
11 detroit	18
ocean nick	18
paul adam	18
close this	18
be walking	18
a purple	18
william henry	18
found that	18
the king	18
moderate on	18
15 10	18
dark gray	18
for theft	18
states her	18
ahead tom	18
on out	18
was found	18
refusal obtained	18
emergency and	18
those juveniles	18
back it	18
he's about	18
in truck	18
14 clifton	18
11 we	18
heights in	18
check i	18
separate i	18
she drives	18
4 thanks	18
number 16	18
16 000	18
the pavilion	18
a motorcycle	18
2 people	18
actually gonna	18
animal shelter	18
500 or	18
frank 1	18
mobile stroke	18
10 is	18
day sale	18
credit union	18
apartment 301	18
i help	18
wanna be	18
wanna come	18
1 70	18
2 09	18
two's in	18
2 50	18
got 1	18
multiple 10	18
17 10	18
year in	18
however you	18
money work	18
for domestic	17
a residential	17
14 the	17
place in	17
her ex	17
kia soul	17
okay that's	17
night shift	17
all cars	17
the trunk	17
come outside	17
and over	17
show that	17
blue nissan	17
clear that	17
right out	17
good thank	17
you ran	17
ida nick	17
please show	17
kufner's for	17
26 expires	17
117th south	17
10-8 you	17
area on	17
a drone	17
lakewood 10-4	17
a fight	17
left with	17
the fourth	17
from what	17
a and	17
this person	17
a temp	17
of bed	17
had any	17
morning and	17
med 3	17
little while	17
set in	17
party at	17
but we'll	17
complaint we'll	17
the 117th	17
copy car	17
18 is	17
back through	17
building is	17
motorist called	17
sidewalk and	17
checking in	17
10-7 i'll	17
work in	17
blocked in	17
her from	17
blue kia	17
dog is	17
the surrounding	17
a video	17
and red	17
bottle of	17
that that's	17
the boyfriend	17
1 15	17
i'm for	17
want her	17
patio bar	17
older male	17
red hoodie	17
took some	17
her window	17
cautions are	17
door in	17
got two	17
just hold	17
of one	17
from us	17
copy closing	17
29 10-8	17
him please	17
22 disregard	17
reporting party	17
parking permission	17
19 please	17
would just	17
of ohio	17
detroit marlowe	17
of east	17
actually on	17
i to	17
we'll call	17
is stuck	17
said he'll	17
160 brown	17
a registered	17
22 copies	17
1 madison	17
with each	17
drop fee	17
are here	17
against her	17
and end	17
notes if	17
apartment 618	17
just needs	17
carlisle apartment	17
getting ready	17
not home	17
owner he	17
detroit alameda	17
in no	17
up they	17
off his	17
10-4 all	17
to riverside	17
dispatch did	17
a subaru	17
be it	17
please try	17
being very	17
pushed her	17
17 just	17
covered in	17
an additional	17
him 10-4	17
we're here	17
it's her	17
her it's	17
saw that	17
towards madison	17
checking from	17
got them	17
with 15	17
license expired	17
that complainant	17
requesting an	17
on route	17
dining room	17
us en	17
15 dl	17
pull out	17
last few	17
the wind	17
5 of	17
a refusal	17
medics at	17
glen cove	17
but not	17
out we	17
wood frame	17
him off	17
we'll see	17
out where	17
call i'll	17
know they	17
kia forte	17
more info	17
madison 117th	17
seeing any	17
that house	17
cars at	17
name david	17
riverside madison	17
thinks she's	17
she's breathing	17
then they	17
lakewood truck	17
clearing lakewood	17
23 you	17
it no	17
and believes	17
she's very	17
on i'm	17
phone that	17
she gets	17
complainant back	17
arrival we'll	17
doesn't believe	17
or at	17
tell the	17
case he	17
copy lakewood	17
of 2000	17
it's john	17
actually be	17
29 he's	17
keys and	17
lakewood for	17
phone was	17
sure to	17
i give	17
10-7 can	17
said when	17
me when	17
notes 10-8	17
and with	17
150 brown	17
26 10-7	17
for people	17
15 madison	17
7th floor	17
it this	17
here can	17
you very	17
you're set	17
back can	17
she's advised	17
station copies	17
120-400 madison	17
she's running	17
north ridgeville	17
him so	17
yesterday lincoln	17
to 11839	17
black valid	17
says they	17
love you	17
hilliard with	17
bunts south	17
kids in	17
of 3	17
of michigan	17
came over	17
set i	17
ram truck	17
8 traffic	17
them is	17
was standing	17
utl we'll	17
is probably	17
king out	17
1 male	17
transfer him	17
we think	17
a heads	17
start covering	17
hill ending	17
mileage 7	17
nora king	17
transport medic	17
a delivery	17
afraid to	17
just do	17
cars will	17
stomach pain	17
frank george	17
that one's	17
she's worried	17
black hyundai	17
around for	17
complaint in	17
that's probably	17
county sheriff's	17
william x-ray	17
i'm up	17
5 is	17
parking lots	17
on she	17
meet up	17
no threats	17
detroit newman	17
paul henry	17
court room	17
blue hyundai	17
office of	17
in i'm	17
your cross	17
of texas	17
for 24	17
couple hours	17
male by	17
cook and	17
a failure	17
pulled off	17
charles adam	17
showing up	17
220 to	17
a guy	17
okay she's	17
medicine and	17
i like	17
send him	17
fairview er	17
been released	17
police or	17
just past	17
exit ramp	17
face and	17
had her	17
nick edward	17
we cleared	17
for service	17
about this	17
check across	17
you you're	17
only no	17
for 4	17
21 clifton	17
a broken	17
ford focus	17
a hat	17
take your	17
on king	17
well we	17
believe he's	17
from 117	17
10-4 10-7	17
the little	17
and what's	17
her name's	17
place for	17
pickup please	17
my speeds	17
of black	17
asking if	17
the model	17
one car	17
person that	17
around here	17
gave it	17
for trespassing	17
it hit	17
valid valid	17
ems call	17
be returning	17
the northwest	17
two days	17
2-8 copy	17
those males	17
imperial house	17
and brockley	17
was sitting	17
here this	17
out this	17
he returns	17
up we'll	17
a ticket	17
i'm far	17
traffic for	17
from riverside	17
male sleeping	17
doors are	17
what were	17
came into	17
clifton female	17
on waterbury	17
check up	17
no dl	17
or two	17
9 the	17
city tree	17
the ice	17
and ridgewood	17
10-4 we'll	17
from fairview	17
add this	17
of pennsylvania	17
on anything	17
we're both	17
exchanged information	17
from them	17
was assaulted	17
she's suspended	17
must be	17
of kids	17
nora tom	17
name robert	17
office with	17
no on	17
there it	17
phone please	17
passenger seat	17
and print	17
check 1	17
ahead there	17
the incident	17
from an	17
service we're	17
company's car	17
sighted and	17
27 is	17
out he's	17
of days	17
17 do	17
t-shirt and	17
traffic in	17
16 at	17
this juvenile	17
we're able	17
mike edward	17
people for	17
you not	17
shirt on	17
mileage 2	17
for pickup	17
boy henry	17
call your	17
showed me	17
unknown direction	17
his information	17
call medic	17
is one	17
adam zebra	17
issued a	17
female advised	17
there's not	17
female resident	17
6 i'll	17
1369 bunts	17
i'll wait	17
his info	17
happen to	17
in new	17
at station	17
on 17	17
the paperwork	17
everything else	17
123 truck	17
and fire	17
they're running	17
be sure	17
the lpd	17
walking to	17
do with	17
to any	17
sure we	17
area it's	17
what's this	17
end damage	17
advise on	17
cove medic	17
no he	17
or what	17
dispatch if	17
burglary alarm	17
someone is	17
river is	17
12015 clifton	17
apartment 8	17
on please	17
was towed	17
history there	17
dog in	17
to i	17
of items	17
robert nick	17
hour and	17
of what	17
david mary	17
left arm	17
under a	17
two people	17
alright we're	17
upset about	17
the crossing	17
still be	17
will remain	17
an 80	17
company it's	17
200 brown	17
6 feet	17
open this	17
the metro	17
where i	17
it's occupied	17
to comply	17
her leg	17
a dead	17
doesn't show	17
5th floor	17
sure who	17
the basketball	17
difficult it's	17
him she	17
back inside	17
72 can	17
you visit	17
a property	17
2 21	17
them all	17
chevy impala	17
female named	17
taking that	17
ridgewood and	17
by here	17
nelson court	17
this gentleman	17
him just	17
daughter is	17
yes they	17
gmc truck	17
to lpd	17
music and	17
in 19	17
walking by	17
this in	17
1342 beach	17
male or	17
chevy cruze	17
dodge durango	17
6 detroit	17
think she's	17
okay there's	17
to set	17
19 do	17
i missed	17
male yelling	17
back so	17
clear at	17
the expired	17
of georgia	17
the mileage	17
inn 12019	17
and set	17
them i	17
said about	17
a bus	17
the ford	17
male white	17
yesterday king	17
and 273	17
he's under	17
some wires	17
her backyard	17
fix it	17
11868 clifton	17
to reserve	17
decided to	17
copy 11	17
the waverly	17
gonna follow	17
nothing coming	17
this this	17
white t-shirt	17
he's sitting	17
c on	17
dairy queen	17
223 and	17
building the	17
foster pool	17
sale and	17
117 king	17
gonna 19	17
pay it	17
108 and	17
engine two's	17
teacher at	17
school i'm	17
center ridge	17
1 600	17
1 60	17
copy 108	17
engine 10	17
o 5	17
2 07	17
nebraska medicine	17
that could	16
she still	16
over it	16
wanted a	16
suspect is	16
male driver	16
is over	16
the public	16
lot in	16
here right	16
lincoln mary	16
12 copies	16
was about	16
phone or	16
what it	16
charlie lincoln	16
cleveland shows	16
oh i'm	16
plate should	16
and north	16
of maple	16
someone on	16
was he	16
on right	16
probably not	16
thought i	16
towards detroit	16
17540 madison	16
smoke or	16
animal hospital	16
house in	16
you that's	16
11 madison	16
female yelling	16
of delaware	16
a severe	16
building owner	16
madison hopkins	16
we all	16
12550 lake	16
complaining about	16
in distress	16
athens with	16
pull me	16
2017 ford	16
to remove	16
vehicle you	16
female complaining	16
number 309	16
10-4 yeah	16
bunts just	16
1345 bunts	16
she have	16
she knows	16
a hyundai	16
henry nora	16
hoodie black	16
his hands	16
we be	16
she's an	16
nick lincoln	16
someone called	16
forgot to	16
of strongsville	16
on those	16
27 we're	16
apartment 107	16
giving me	16
lists to	16
just that	16
he's found	16
out so	16
also en	16
have notes	16
tell us	16
gas meter	16
went southbound	16
to change	16
is secure	16
only have	16
male detained	16
route can	16
the neighbor's	16
9 copies	16
saw them	16
we'll try	16
goa we'll	16
medical issues	16
cleared from	16
water on	16
is her	16
party is	16
then we	16
just told	16
in in	16
phone now	16
could tell	16
looked at	16
heard it	16
a victim	16
address i	16
15 back	16
went up	16
said she'll	16
be inside	16
advised there's	16
at our	16
we'll give	16
you mind	16
parma for	16
calling to	16
smoke in	16
a 50	16
hook for	16
be parked	16
main break	16
get down	16
which direction	16
pickup when	16
males that	16
not breathing	16
door she's	16
door we	16
be behind	16
just heard	16
blocking traffic	16
male laying	16
change this	16
him when	16
up call	16
she's also	16
center for	16
but then	16
on winchester	16
hear her	16
intersection of	16
a dark-colored	16
medicare is	16
accessible 10-8	16
go speak	16
him there	16
turn off	16
yeah go	16
and leonard	16
he seems	16
at number	16
vehicle maintenance	16
that's coming	16
stop for	16
i'm down	16
between a	16
female 5'6	16
he's running	16
some reason	16
history with	16
clifton jackson	16
the id	16
from north	16
that took	16
are working	16
they weren't	16
did it	16
apartment 203	16
clifton on	16
a construction	16
department of	16
box truck	16
i'm waiting	16
on 19	16
him down	16
still looking	16
airbags deployed	16
manner 12400	16
copy for	16
the trash	16
you disregard	16
to deal	16
nick king	16
224 i'm	16
sam charles	16
2 he's	16
12 we	16
16 10-8	16
well please	16
15 just	16
shows it	16
middle name	16
the individual	16
for cleveland	16
the nissan	16
michigan plate	16
alameda for	16
that complaint	16
117 at	16
know this	16
complaint says	16
doing follow-up	16
detail i	16
building she	16
if i'm	16
going out	16
205 10-8	16
she's unsure	16
paul nick	16
70 i'm	16
the bond	16
almost hit	16
continue on	16
ocean edward	16
4-door expires	16
warrant with	16
them off	16
with separate	16
the taco	16
in line	16
for no	16
to abuse	16
i'm franklin	16
10-4 at	16
say the	16
was transported	16
people walking	16
clifton unit	16
be staying	16
left for	16
doesn't think	16
i'll look	16
lincoln with	16
advised i	16
warrant out	16
a room	16
aid for	16
i-90 eastbound	16
the ramp	16
be one	16
believe so	16
as it	16
hit him	16
female had	16
kia station	16
there's only	16
5 11	16
i hear	16
that left	16
call came	16
a hoodie	16
female driver	16
just released	16
went north	16
neighbors are	16
on park	16
2 minutes	16
him detroit	16
the field	16
can continue	16
4-door white	16
29 1	16
street at	16
myself in	16
where's the	16
clipped in	16
of tennessee	16
multiple calls	16
from you	16
nora lincoln	16
so that's	16
a nice	16
car a	16
respond there	16
we arrested	16
it do	16
down i	16
belle with	16
queen union	16
up he's	16
warren with	16
dizzy and	16
northwest corner	16
it's no	16
stopped on	16
west and	16
he's currently	16
4 at	16
few more	16
is already	16
that shows	16
alright i'll	16
6 copy	16
o'neill room	16
of 2024	16
out by	16
him with	16
edward george	16
dark pants	16
to athens	16
2026 chevy	16
can save	16
any way	16
2 weeks	16
be 90	16
an injured	16
on friday	16
them there	16
yes she	16
think they're	16
madison male	16
and manor	16
home to	16
carabel and	16
tank top	16
we'll both	16
27 on	16
plate again	16
rock hall	16
told you	16
need an	16
6 in	16
back a	16
that's affirmative	16
hold off	16
was possibly	16
i please	16
problem with	16
have not	16
company car	16
the mailbox	16
the previous	16
lincoln victor	16
suv that's	16
10-4 from	16
turn the	16
can turn	16
trading at	16
a location	16
company and	16
off it	16
11 11	16
not answer	16
all this	16
something i	16
17 we'll	16
that dog	16
guess they	16
2 that	16
went off	16
calling me	16
okay he's	16
apartment 513	16
wearing dark	16
out okay	16
clearing in	16
24 hours	16
car here	16
for obstructing	16
need this	16
parking signs	16
blue jacket	16
sitting outside	16
asking people	16
a prisoner	16
in as	16
cleveland fire	16
26 is	16
her know	16
mcdonald's on	16
parking tickets	16
the at	16
disregard for	16
street i	16
valid he	16
dispatch make	16
jeep cherokee	16
down across	16
heights with	16
for 36	16
299 dock	16
dock fee	16
severe abdominal	16
mail from	16
hours and	16
disregard you	16
broke up	16
order of	16
on service	16
the registrar	16
moved to	16
dispatch on	16
i check	16
the block	16
what i'm	16
detector is	16
upstairs unit	16
for right	16
where you're	16
getting in	16
can keep	16
owner she's	16
up but	16
figure it	16
showing front	16
215 i'll	16
19 station	16
called them	16
is car	16
have is	16
floor for	16
mike 3's	16
someone at	16
manor number	16
are a	16
is running	16
earlier and	16
call out	16
units will	16
1-4300 detroit	16
expired ccw	16
miles per	16
cleveland know	16
call with	16
will meet	16
7 go	16
police station	16
notes we're	16
requesting to	16
any injuries	16
further assistance	16
criminal damaging	16
was confiscated	16
house that	16
clearing up	16
for john	16
up she	16
recently had	16
apartment 303	16
from their	16
pick her	16
sedan with	16
delaware for	16
woodward for	16
1 north	16
wide open	16
204 and	16
gray jeep	16
15 we	16
can locate	16
the future	16
another plate	16
94 year	16
apartment 202	16
medic 10	16
it's about	16
zebra lincoln	16
copy out	16
valid with	16
parties in	16
13511 detroit	16
every time	16
number or	16
your call	16
time we	16
a michigan	16
happened at	16
on january	16
west garage	16
into it	16
any calls	16
was broken	16
valid permit	16
starting miles	16
x-ray david	16
appeared to	16
ahead spoke	16
hitting the	16
doesn't come	16
at 7	16
add me	16
the box	16
73 i'm	16
73 to	16
william zebra	16
no violations	16
270 and	16
the most	16
just found	16
you right	16
17600 detroit	16
red toyota	16
2506 edgewater	16
back that	16
call dispatch	16
start customer	16
it's 1	16
check by	16
more while	16
haven't heard	16
19 what	16
99 copy	16
